region,country,is_diplomatic_outlet,is_state_media_outlet,is_confucius_institute,account_category,name,social_media_type,account,langs,link_or_handle,extracted_from_file,extracted_from_col
Asia-Pacific,AFGHANISTAN,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,ChinaEmbKabul,"['english', 'pashto', 'persian']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Europe,ALBANIA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,ChinaembassyT,"['english', 'albanian', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Africa,ANGOLA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,ChinaEmbAngola,"['portuguese', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Americas,ARGENTINA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,ChinaEmbArg,"['spanish', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Europe,AUSTRIA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,chinaembaustria,"['english', 'german', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Americas,BRAZIL,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,EmbaixadaChina,"['portuguese', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Africa,BURUNDI,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,AmbChineBurundi,"['french', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Africa,CAMEROON,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,AmbChineCmr,"['english', 'french', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Americas,CANADA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,ChinaEmbOttawa,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Africa,CHAD,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,ambchinetchad,"['french', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Americas,CHILE,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,ChinaEmbajada,"['spanish', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Americas,COLOMBIA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,china_embajada,"['spanish', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Americas,CUBA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,EmbChinaCuba,"['english', 'spanish', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Europe,CZECH REPUBLIC,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,ChineseEmbinCZ,"['czech', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Africa,DEMOCRATIC REP OF CONGO (ex-Zaire),Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,AmbCHINEenRDC,"['french', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
Europe,DENMARK,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,ChinaInDenmark,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA
