,Twitter_Handle,Language_1_2_3
0,ChinaEmbKabul,"[['English'], ['Pashto'], ['Persian']]"
1,ChinaembassyT,"[['English'], ['Albanian'], [nan]]"
2,ChinaEmbAngola,"[['Portuguese'], ['English'], [nan]]"
3,ChinaEmbArg,"[['Spanish'], ['English'], [nan]]"
4,chinaembaustria,"[['English'], ['German'], [nan]]"
5,EmbaixadaChina,"[['Portuguese'], ['English'], [nan]]"
6,AmbChineBurundi,"[['French'], ['English'], [nan]]"
7,AmbChineCmr,"[['English'], ['French'], [nan]]"
8,ChinaEmbOttawa,"[['English'], [nan], [nan]]"
9,ambchinetchad,"[['French'], ['English (only in shared or retweeted posts)'], [nan]]"
10,ChinaEmbajada,"[['Spanish'], [nan], [nan]]"
11,china_embajada,"[['Spanish'], ['English'], [nan]]"
12,EmbChinaCuba,"[['English'], ['Spanish'], [nan]]"
13,ChineseEmbinCZ,"[['Czech'], [nan], [nan]]"
14,AmbCHINEenRDC,"[['French'], ['English'], [nan]]"
15,ChinaInDenmark,"[['English'], [nan], [nan]]"
16,ChineAmbDjibout,"[['French'], ['English'], [nan]]"
17,ChinaEmbajadaRD,"[['Spanish'], [nan], [nan]]"
18,EmbajadaChinaEc,"[['Spanish'], [nan], [nan]]"
19,EmbajadaChinaSV,"[['Spanish'], [nan], [nan]]"
20,EmbChinaGE,"[['Spanish'], [nan], [nan]]"
21,ChinaEmbAddis,"[['English'], [nan], [nan]]"
22,ChinaEUMission,"[['English'], [nan], [nan]]"
23,AmbassadeChine,"[['French'], [nan], [nan]]"
24,ChinaEmbGermany,"[['German'], ['English'], [nan]]"
25,ChinaEmbinGH,"[['English'], [nan], [nan]]"
26,chine_guinee,"[['French'], ['English (only in retweeted or shared post)'], [nan]]"
27,ChineseEmbinHU,"[['Hungarian'], ['English'], [nan]]"
28,ChinaIraq,"[['Arabic'], ['English'], [nan]]"
29,ChinaEmbIreland,"[['English'], [nan], [nan]]"
30,AmbCina,"[['Italian'], [nan], [nan]]"
31,ChnEmbassy_jp,"[['Japanese'], ['English'], [nan]]"
32,ChineseembassyJ,"[['Arabic'], ['English'], [nan]]"
33,ChinaEmbKazakh,"[['Russian'], [nan], [nan]]"
34,ChineseEmbKenya,"[['English'], [nan], [nan]]"
35,ChineseLiberia,"[['English'], [nan], [nan]]"
36,Chine_au_Mali,"[['French'], [nan], [nan]]"
37,ChinaEmbinMR,"[['Arabic'], ['English'], [nan]]"
38,china_emb_ng,"[['English'], [nan], [nan]]"
39,CathayPak,"[['English'], ['Urdu'], [nan]]"
40,ChineseEmb_PNG,"[['English'], [nan], [nan]]"
41,ChinaEmbPeru,"[['Spanish'], [nan], [nan]]"
42,Chinaembmanila,"[['English'], [nan], [nan]]"
43,ChinaEmbPoland,"[['English'], ['Polish'], [nan]]"
44,ChineseEmbinRus,"[['Russian'], [nan], [nan]]"
45,chinaandsamoa,"[['English'], [nan], [nan]]"
46,ChinaEmbKSA,"[['Arabic'], ['English'], [nan]]"
47,EmbChina_RS,"[['Serbian (cyrillic script)'], [nan], [nan]]"
48,ChinaEmbSVK,"[['Slovak'], ['English'], [nan]]"
49,ChinaEmSlovenia,"[['English'], [nan], [nan]]"
50,ChineseSomalia,"[['English'], [nan], [nan]]"
51,ChineseEmbSA,"[['English'], [nan], [nan]]"
52,ChinaEmbEsp,"[['Spanish'], [nan], [nan]]"
53,ChinaEmbSL,"[['English'], ['Sinhalese'], ['Tamil']]"
54,CHNEmbSuriname,"[[nan], [nan], [nan]]"
55,BotschaftChina,"[['English'], [nan], [nan]]"
56,ChineseEmbTZ,"[['English'], ['Swahili'], [nan]]"
57,chineseembassy1,"[['English'], ['Thai'], [nan]]"
58,embassy_chinese,"[['English'], [nan], [nan]]"
59,ChinaEmbTurkey,"[['Turkish'], ['English'], [nan]]"
60,ChineseEmb_Uga,"[['English'], [nan], [nan]]"
61,ChineseEmbinUK,"[['English'], [nan], [nan]]"
62,ChinaMissionGva,"[['English'], [nan], [nan]]"
63,Chinamission2un,"[['English'], [nan], [nan]]"
64,ChinaMissionVie,"[['English'], [nan], [nan]]"
65,ChineseEmbinUS,"[['English'], [nan], [nan]]"
66,Emb_ChinaVen,"[['Spanish'], ['English'], [nan]]"
67,ChineseEmbtoYEM,"[['Arabic'], ['English'], [nan]]"
68,ChineseZimbabwe,"[['English'], [nan], [nan]]"
