,language,twitter.user/id,twitter.tweet/text,twitter.tweet/lang,twitter.tweet/id,link_or_handle,csvId,langs,social_media_type,extracted_from_col,name,extracted_from_file,postgresId
AmbCHINEenRDC,fr,1215224180532109312,"Au jour de la Fête nationale chinoise et de la fête de la lune, je souhaite bonne fête à mes compatriotes chinois en #RDCongo et invite mes amis à partager ce moment symbolique de la paix, de l'harmonie et des retrouvailles familiales. https://t.co/4sDYudMlh4",fr,1311697855829217282,handle,14.0,"['french', 'english', 'n/a']",tw,Embassy Twitter handle without NA,embassy_twitter_handle,ChinaSocialMedia20200928.xlsx,15.0
AmbCHINEenRDC,fr,1215224180532109312,"A l'occasion du 71ème anniversaire de la République populaire de Chine, nous invitons nos amis congolais à partager avec nous ce moment de joie. Merci de votre soutien et votre accompagnement.  Vive la Chine et l'amitié sino-congolaise! 🇨🇳🇨🇩 https://t.co/PxajaHp6q6",fr,1311698034070368262,handle,14.0,"['french', 'english', 'n/a']",tw,Embassy Twitter handle without NA,embassy_twitter_handle,ChinaSocialMedia20200928.xlsx,15.0
AmbCHINEenRDC,fr,1215224180532109312,Xi Jinping : La protection des droits et des intérêts des femmes doit devenir un engagement au niveau national. https://t.co/vsoclDLz0L @FondationDNT @ONUFemmes @AwaNdiayeSeck1 https://t.co/Gysln3XVh2,fr,1312095371749859330,handle,14.0,"['french', 'english', 'n/a']",tw,Embassy Twitter handle without NA,embassy_twitter_handle,ChinaSocialMedia20200928.xlsx,15.0
AmbCHINEenRDC,fr,1215224180532109312,"J'ai passé pour la 1ème fois la fête nationale chinoise à Kinshasa, avec la chorale Vox Disposa. Bravo pour vos belles chansons! Je vous encourage à continuer de transmettre l'amitié par la musique. https://t.co/DbKndkBUEg",fr,1312372509275303938,handle,14.0,"['french', 'english', 'n/a']",tw,Embassy Twitter handle without NA,embassy_twitter_handle,ChinaSocialMedia20200928.xlsx,15.0
AmbCHINEenRDC,en,1215224180532109312,"A small group of countries, led by the United States, Germany and the United Kingdom, abused the UN platform, politicized the issues of human rights and provoked confrontation. 
#ThirdCommittee #75UNGA https://t.co/pn8yblc0Z7",en,1313889040265965568,handle,14.0,"['french', 'english', 'n/a']",tw,Embassy Twitter handle without NA,embassy_twitter_handle,ChinaSocialMedia20200928.xlsx,15.0
AmbCHINEenRDC,en,1215224180532109312,"Today, at the general debate of #3C of #75UNGA, Pakistan 🇵🇰made a joint statement on behalf of 55 countries, opposing interference in China’s internal affairs under the pretext of Hong Kong. https://t.co/0KCrzUEKx3",en,1313889065775718400,handle,14.0,"['french', 'english', 'n/a']",tw,Embassy Twitter handle without NA,embassy_twitter_handle,ChinaSocialMedia20200928.xlsx,15.0
AmbCHINEenRDC,en,1215224180532109312,"Today, Cuba🇨🇺 made a joint statement on behalf of 45 countries in support of China’s counter-terrorism and deradicalization measures in Xinjiang at the general debate of #3C of #75UNGA. https://t.co/fP8mZIsu6g",en,1313889132716855296,handle,14.0,"['french', 'english', 'n/a']",tw,Embassy Twitter handle without NA,embassy_twitter_handle,ChinaSocialMedia20200928.xlsx,15.0
AmbCHINEenRDC,fr,1215224180532109312,"218 nouveaux #Casques bleus chinois sont en poste en RDC depuis le 30 septembre, au sein de la #MONUSCO. C’est le 24ème contigent chinois depuis 2003 dans les opérations ONU de maintien de la paix en #RDC. https://t.co/U9TOZmve65",fr,1313900051815706625,handle,14.0,"['french', 'english', 'n/a']",tw,Embassy Twitter handle without NA,embassy_twitter_handle,ChinaSocialMedia20200928.xlsx,15.0
AmbChangHua,en,1181459142894145541,"Amazing! On October 1st, during China's National Day. There were 2,000 drone shows and light shows in Shenzhen. It was so beautiful. The final shot is a Chinese myth of Chang 'e flying to the moon..😍😍😍 https://t.co/KFdiqu3fXs",en,1311624864718098432,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,Watch: #Wuhan celebrates China's National Day with creative flash mob. #NationalDay2020 🇨🇳 #HighSpeedRailTour https://t.co/lkXCEmlTA5,en,1311626315880108035,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,fa,1181459142894145541,https://t.co/q1AAMk6SGlپایداری-بر-چندجانبه-گرایی-برای-ایجاد-جامعه-بشری-با-سرنوشت-مشترک,und,1311717907865497601,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,The international ski resort of Koktokay in Altay of NW China's #Xinjiang welcomes athletes and skiers on Thursday. The local government has prompted skiing related industries to attract more tourists. Photos: Courtesy of Fu Xuan https://t.co/GFjfVXsREu,en,1311719623738429443,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,"Chinese President Xi Jinping hails women as creators of human civilization, drivers of social progress https://t.co/3xH528UKJJ https://t.co/621IM9RoBp",en,1311719665329201154,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,fa,1181459142894145541,"سند اولین اصلاح اقتصادی در چین جدید، 
۱۸ کشاورز در سال ۱۹۷۸در روستای Xiaogang، زمین های اشتراکی را بین خود تقسیم میکنند و باعث افزایش شدید تولید محصول میشود و این اقدام اغاز روند اصلاحات اقتصادی میشود که تا امروز ادامه دارد و 🇨🇳 را به کارخانه دنیا تبدیل کرده است، https://t.co/4wy0H8By3T",fa,1311924138773282817,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,"Global Vision and Firm Commitment as a Major Country
🔗https://t.co/oUs9V7TOx2 https://t.co/IF1gDXLjyk",en,1311924367052468225,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,"Enjoy the stunning light show at night in Shanghai, China. https://t.co/fmqpJXRrPr",en,1311924672708177921,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,Highlights from China's #NationalDay2020 light show https://t.co/rTkZU5IQdA,en,1311924923699527680,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,tl,1181459142894145541,"Today, Nanjing Road Pedestrian Street, Shanghai China. https://t.co/wHNKrZY5b9",tl,1311978263095529473,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,China has joined major multilateral treaties on #nuclear non-proliferation and adopted a “no-first-use” nuclear policy. The country also insists on the peaceful and safe use of nuclear energy with the annual output value of its nuclear industry reaching 300b yuan ($44.1b). https://t.co/FWcKJfvD7s,en,1311978575692804097,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,"China saw a total of 97 mln domestic tourist trips made on Thursday, the first day of an eight-day #GoldenWeek holiday. The figure was 73.8% of the trips made during the same period last year.",en,1312013466060947461,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,Saddened to learn #President and the #FirstLady of the #US tested positive. Hope they both have a speedy recovery and will be fine.,en,1312048904259723264,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,"On US Secretary of State #Pompeo's Erroneous Remarks about China:
🔗https://t.co/RlcSTuryCY https://t.co/SXPDQ6IQIE",en,1312048999571107842,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,"Wow, this is the Liuyang Fireworks show in China tonight. The Netherlands played against Spain. Tomorrow night is Finland playing Italy🎆🎆🎆😍😍😍 https://t.co/Er7woiXUVl",en,1312072141899280389,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,His Excellency Hu ChanHua Vice prime minister of China visited iran's pavilion in #G_hub  Shanghai lastweek. https://t.co/9YZyS6CCkW,en,1312073323405246468,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,"China supports the establishment of International Day for the Total Elimination of Nuclear Weapons, and stands ready to work with the int’l community to advance nuclear disarmament process for the ultimate realization of a nuclear-weapons-free world. https://t.co/bgmD6L0nQF https://t.co/S55rx2LhIX",en,1312260053706199040,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,tl,1181459142894145541,Swan Lake #Tehran #HuaweiP30Pro https://t.co/QGnjsWMDKM,en,1312347083375075328,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,"Over 800 million Chinese people have been lifted out of poverty in the past 40 years. Hope China's experience 
and practice may somehow provide some food for thought to inform others' #povertyalleviation endeavors. 
🔗https://t.co/fVsxM3JKEk https://t.co/ckiJzcwpUP",en,1312356611944521728,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,#GlamorChina Beijing’s #PalaceMuseum welcomes visitors with under a clear blue sky during the #NationalDay holiday. https://t.co/vKKZrQMWC8,en,1312359033156915200,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
AmbChangHua,en,1181459142894145541,"@BazariZabih Yes, taken by my Huawei phone",en,1312361419824914435,handle,82.0,"['english', 'persian', 'n/a']",tw,Chinese Ambassador Twitter handle,chinese_ambassador_twitter_handle,ChinaSocialMedia20200928.xlsx,83.0
