"language","lookup.general/linkPrefix","lookup.general/account","twitter.user/id","twitter.user/createdAt","twitter.tweet/text","lookup.facebook/pageLink","twitter.tweet/lang","lookup.general/extracted_from_file","crowdtangle.account/id","crowdtangle.post/idNew","lookup.webcrawl.error/message","lookup.general/postgresId","crowdtangle.post/message","random/boolean","lookup.webcrawl/isSuccessful","platformPrefix","crowdtangle.post/date","crowdtangle.post/platformId","crowdtangle.post/allText","twitter.tweet/id","combined/text","crowdtangle.account/handle","lookup.general/link_or_handle","twitter.user/lang","lookup.facebook/type","lookup.facebook/id","lookup.general/csvId","lookup.facebook/postId","crowdtangle.account/name","combined/uniqueUserId-fb","combined/userHandle","lookup.extracted.account/platformId","lookup.general/langs","crowdtangle.account/platformId","combined/createdDate","lookup.general/social_media_type","combined/uniqueUserId","lookup/found","lookup.webcrawl/httpCode","postgresId","twitter.user/screenName","lookup.general/extracted_from_col","combined/uniqueUserId-tw","lookup.webcrawl/resolvedUrl","twitter.tweet/created","lookup.general/name"
"en","https://www.facebook.com/","https://www.facebook.com/websteru","","","","https://www.facebook.com/websteru","","ChinaSocialMedia20200928.xlsx","224444","224444|10158753063761552","","361","Students are encouraged to connect with their academic advisors soon to prepare for the Spring 2021 semester. http://www.webster.edu/academics/registration.html","true","true","fb","2020-10-13T16:35:55.000Z","32419581551_10158753063761552","Students are encouraged to connect with their academic advisors soon to prepare for the Spring 2021 semester. http://www.webster.edu/academics/registration.html GET READY! Registration Opens Soon! GRADUATE Monday, October 26 UNDERGRADUATE .Monday, Nov. 2: ST. LOUIS AREA SENIORS Tuesday, Nov. 3: ST. LOUIS AREA JUNIORS Wednesday, Nov. 4: OPEN TO ALL Contact your Academic Advisor webster.edu/register Webster UNIVERSITY","","Students are encouraged to connect with their academic advisors soon to prepare for the Spring 2021 semester. http://www.webster.edu/academics/registration.html","websteru","link","","PAGE","websteru","360","","Webster University","true","fb-websteru","32419581551","['n/a', 'n/a']","32419581551","2020-10-13T16:35:55.000Z","fb","fb-32419581551","true","200","93","","Facebook link","false","https://www.facebook.com/websteru","","institute_facebook_link"
"en","https://www.facebook.com/","https://www.facebook.com/chinaembassynmk/","","","","https://www.facebook.com/chinaembassynmk","","ChinaSocialMedia20200928.xlsx","11183620","11183620|202210144593719","","142","For September, China’s imports surged 13.2% in U.S. dollar terms, according to official customs data on Tuesday. That was far above the 0.3% predicted by the Reuters’ poll. Exports rose 9.9% from a year ago — close to analysts’ expectations of 10%, according to a Reuters poll. Trade data for September in U.S. dollar-terms showed China’s imports surged, well above expectations, while exports grew largely as forecast.","true","true","fb","2020-10-13T08:38:56.000Z","106621514152583_202210144593719","For September, China’s imports surged 13.2% in U.S. dollar terms, according to official customs data on Tuesday. That was far above the 0.3% predicted by the Reuters’ poll. Exports rose 9.9% from a year ago — close to analysts’ expectations of 10%, according to a Reuters poll. Trade data for September in U.S. dollar-terms showed China’s imports surged, well above expectations, while exports grew largely as forecast. China's imports surged 13.2% in U.S. dollar-terms in September, while exports rose 9.9%.","","For September, China’s imports surged 13.2% in U.S. dollar terms, according to official customs data on Tuesday. That was far above the 0.3% predicted by the Reuters’ poll. Exports rose 9.9% from a year ago — close to analysts’ expectations of 10%, according to a Reuters poll. Trade data for September in U.S. dollar-terms showed China’s imports surged, well above expectations, while exports grew largely as forecast.","chinaembassynmk","link","","PAGE","chinaembassynmk","141","","Embassy of the People's Republic of China in North Macedonia","true","fb-chinaembassynmk","106621514152583","['english', 'n/a', 'n/a']","106621514152583","2020-10-13T08:38:56.000Z","fb","fb-106621514152583","true","200","136","","Main Facebook Page Link","false","https://www.facebook.com/chinaembassynmk","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/ChinaEmbSVK/","","","","https://www.facebook.com/ChinaEmbSVK","","ChinaSocialMedia20200928.xlsx","11445976","11445976|186012136321629","","159","Hope Bach's works on Guqin (a Chinese traditional string instrument) could bring you a happy and harmonious Monday evening.","true","true","fb","2020-10-12T15:46:27.000Z","101287421460768_186012136321629","Hope Bach's works on Guqin (a Chinese traditional string instrument) could bring you a happy and harmonious Monday evening. As an oriental traditional instrument, Guqin has played a significant role since ancient China. Therefore, what will be happened if we use it to play classic...","","Hope Bach's works on Guqin (a Chinese traditional string instrument) could bring you a happy and harmonious Monday evening.","ChinaEmbSVK","link","","PAGE","ChinaEmbSVK","158","","中国驻斯洛伐克使馆 Čínske veľvyslanectvo na Slovensku","true","fb-ChinaEmbSVK","101287421460768","['english', 'n/a', 'n/a']","101287421460768","2020-10-12T15:46:27.000Z","fb","fb-101287421460768","true","200","182","","Main Facebook Page Link","false","https://www.facebook.com/ChinaEmbSVK","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/ChinainAus/","","","","https://www.facebook.com/ChinainAus","","ChinaSocialMedia20200928.xlsx","11183627","11183627|200600968117320","","112","Scenery of autumn harvest across China","true","true","fb","2020-10-12T11:47:59.000Z","100850931425658_200600968117320","Scenery of autumn harvest across China","","Scenery of autumn harvest across China","ChinainAus","link","","PAGE","ChinainAus","111","","Chinese Embassy in Australia","true","fb-ChinainAus","100850931425658","['english', 'n/a', 'n/a']","100850931425658","2020-10-12T11:47:59.000Z","fb","fb-100850931425658","true","200","215","","Main Facebook Page Link","false","https://www.facebook.com/ChinainAus","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/chinaembmy/","","","","https://www.facebook.com/chinaembmy","","ChinaSocialMedia20200928.xlsx","9859748","9859748|3481869841879125","","143","Located in southwestern #Xinjiang, #Kashgar has long been a trading hub in #AncientSilkRoad.The yellow mud bricks dwellings feature #Islamic and #Uyghur styles. The old town retains its traditional style while creating its new vitality.","true","true","fb","2020-10-11T12:00:48.000Z","1729961127070014_3481869841879125","Located in southwestern #Xinjiang, #Kashgar has long been a trading hub in #AncientSilkRoad.The yellow mud bricks dwellings feature #Islamic and #Uyghur styles. The old town retains its traditional style while creating its new vitality.","","Located in southwestern #Xinjiang, #Kashgar has long been a trading hub in #AncientSilkRoad.The yellow mud bricks dwellings feature #Islamic and #Uyghur styles. The old town retains its traditional style while creating its new vitality.","chinaembmy","link","","PAGE","chinaembmy","142","","China Embassy in Malaysia","true","fb-chinaembmy","1729961127070014","['english', 'n/a', 'n/a']","1729961127070014","2020-10-11T12:00:48.000Z","fb","fb-1729961127070014","true","200","262","","Main Facebook Page Link","false","https://www.facebook.com/chinaembmy","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/ChinaEmbassyManila/","","","","https://www.facebook.com/ChinaEmbassyManila","","ChinaSocialMedia20200928.xlsx","8457248","8457248|1449566438573759","","153","China and Indonesia have vowed to strengthen cooperation on COVID-19 vaccine during talks between Chinese State Councilor and Foreign Minister Wang Yi and Luhut Binsar Pandjaitan, Indonesian President's special envoy and the country's Coordinator for Cooperation with China. The pair met Friday in southwest China's Yunnan Province.","true","true","fb","2020-10-10T14:16:43.000Z","916398081890600_1449566438573759","China and Indonesia have vowed to strengthen cooperation on COVID-19 vaccine during talks between Chinese State Councilor and Foreign Minister Wang Yi and Luhut Binsar Pandjaitan, Indonesian President's special envoy and the country's Coordinator for Cooperation with China. The pair met Friday in southwest China's Yunnan Province.","","China and Indonesia have vowed to strengthen cooperation on COVID-19 vaccine during talks between Chinese State Councilor and Foreign Minister Wang Yi and Luhut Binsar Pandjaitan, Indonesian President's special envoy and the country's Coordinator for Cooperation with China. The pair met Friday in southwest China's Yunnan Province.","ChinaEmbassyManila","link","","PAGE","ChinaEmbassyManila","152","","Chinese Embassy Manila","true","fb-ChinaEmbassyManila","916398081890600","['english', 'n/a', 'n/a']","916398081890600","2020-10-10T14:16:43.000Z","fb","fb-916398081890600","true","200","297","","Main Facebook Page Link","false","https://www.facebook.com/ChinaEmbassyManila","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/ChineseEmbassyinUS/","","","","https://www.facebook.com/ChineseEmbassyinUS","","ChinaSocialMedia20200928.xlsx","2852029","2852029|4666963313374538","","167","On October 8, #China officially joined #COVAX, an important step to turn our vaccines into a global public good. This will contribute to equitable distribution of vaccines. We will continue to stand in solidarity with the rest of world against the pandemic. #HealthforAll","true","true","fb","2020-10-09T15:48:25.000Z","1956739414396955_4666963313374538","On October 8, #China officially joined #COVAX, an important step to turn our vaccines into a global public good. This will contribute to equitable distribution of vaccines. We will continue to stand in solidarity with the rest of world against the pandemic. #HealthforAll","","On October 8, #China officially joined #COVAX, an important step to turn our vaccines into a global public good. This will contribute to equitable distribution of vaccines. We will continue to stand in solidarity with the rest of world against the pandemic. #HealthforAll","ChineseEmbassyinUS","link","","PAGE","ChineseEmbassyinUS","166","","Embassy of The People's Republic of China in the United States","true","fb-ChineseEmbassyinUS","1956739414396955","['english', 'n/a', 'n/a']","1956739414396955","2020-10-09T15:48:25.000Z","fb","fb-1956739414396955","true","200","349","","Main Facebook Page Link","false","https://www.facebook.com/ChineseEmbassyinUS","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/AmbasadaChineiinRomania/?rf=287193445231187","","","","https://www.facebook.com/AmbasadaChineiinRomania","","ChinaSocialMedia20200928.xlsx","9753241","9753241|206300697524015","","155","Strawberry Music Festival was held in Beijing on Monday during China's #GoldenWeek this year. The three-day festival, which is normally held around Labor Day in May, was postponed due to the #COVID-19 pandemic.","true","true","fb","2020-10-09T06:23:20.000Z","104493884371364_206300697524015","Strawberry Music Festival was held in Beijing on Monday during China's #GoldenWeek this year. The three-day festival, which is normally held around Labor Day in May, was postponed due to the #COVID-19 pandemic. Strawberry Music Festival was held in Beijing on Monday during China's #GoldenWeek this year. The three-day festival, which is normally held around Labor Day...","","Strawberry Music Festival was held in Beijing on Monday during China's #GoldenWeek this year. The three-day festival, which is normally held around Labor Day in May, was postponed due to the #COVID-19 pandemic.","AmbasadaChineiinRomania","link","","PAGE","AmbasadaChineiinRomania","154","","中国驻罗使馆Ambasada Chinei","true","fb-AmbasadaChineiinRomania","104493884371364","['english', 'n/a', 'n/a']","104493884371364","2020-10-09T06:23:20.000Z","fb","fb-104493884371364","true","200","390","","Main Facebook Page Link","false","https://www.facebook.com/AmbasadaChineiinRomania","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/SheffieldCI/","","","","https://www.facebook.com/SheffieldCI","","ChinaSocialMedia20200928.xlsx","12773031","12773031|3451350808277866","","327","Want to learn more about Mid-Autumn Festival?? . Take a look at the video below from China Culture 😃 . #learnchinese #midautumnfestival","true","true","fb","2020-10-08T16:27:26.000Z","359522950794016_3451350808277866","Want to learn more about Mid-Autumn Festival?? . Take a look at the video below from China Culture 😃 . #learnchinese #midautumnfestival “From ancient times, the #MidAutumnFestival has been customary for Chinese to reunite with family members and enjoy a sweet mooncake while observing the beautiful moon. Watch this episode of Festive China to find out more. https://t.co/8AtF185OXS","","Want to learn more about Mid-Autumn Festival?? . Take a look at the video below from China Culture 😃 . #learnchinese #midautumnfestival","SheffieldCI","link","","PAGE","SheffieldCI","326","","Confucius Institute at the University of Sheffield","true","fb-SheffieldCI","359522950794016","['english', 'n/a']","359522950794016","2020-10-08T16:27:26.000Z","fb","fb-359522950794016","true","200","417","","Facebook link","false","https://www.facebook.com/SheffieldCI","","institute_facebook_link"
"en","https://www.facebook.com/","https://www.facebook.com/chinaembd/?comment_id=Y29tbWVudDoxODE0ODcxMTk5ODgzOTNfMTgxNDg4MDA5OTg4MzA0","","","","https://www.facebook.com/chinaembd","","ChinaSocialMedia20200928.xlsx","9360194","9360194|208077317329373","","113","#শাপলা এবং পরিশ্রমী জনগোষ্ঠীর এই #সমৃদ্ধ_বাংলাদেশ। #Bountiful_Bangladesh with her #waterlily and hardworking people.","true","true","fb","2020-10-05T09:40:42.000Z","106507707486335_208077317329373","#শাপলা এবং পরিশ্রমী জনগোষ্ঠীর এই #সমৃদ্ধ_বাংলাদেশ। #Bountiful_Bangladesh with her #waterlily and hardworking people.","","#শাপলা এবং পরিশ্রমী জনগোষ্ঠীর এই #সমৃদ্ধ_বাংলাদেশ। #Bountiful_Bangladesh with her #waterlily and hardworking people.","chinaembd","link","","PAGE","chinaembd","112","","Embassy of the People's Republic of China in Bangladesh","true","fb-chinaembd","106507707486335","['bengali', 'n/a', 'n/a']","106507707486335","2020-10-05T09:40:42.000Z","fb","fb-106507707486335","true","200","607","","Main Facebook Page Link","false","https://www.facebook.com/chinaembd","","chinese_embassy_facebook_page_link"
