"language","twitter.user/followersCount","twitter.user/friendsCount","lookup.general/linkPrefix","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","lookup.general/account","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","lookup.facebook/pageLink","retweet.twitter.tweet/originalText","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","lookup.general/extracted_from_file","crowdtangle.post/idNew","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","lookup.webcrawl.error/message","twitter.tweet/isQuote","lookup.general/postgresId","twitter.tweet/placeName","crowdtangle.post/message","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","random/boolean","twitter.tweet/quotedStatusId","twitter.tweet/mediaTypes","lookup.webcrawl/isSuccessful","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","platformPrefix","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","twitter.user/contributorsEnabled","crowdtangle.post/date","crowdtangle.post/platformId","crowdtangle.post/allText","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","twitter.tweet/source","combined/text","retweet.twitter.tweet/latitude","retweet.twitter.tweet/inReplyToStatusID","lookup.general/link_or_handle","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","lookup.facebook/type","lookup.facebook/id","lookup.general/csvId","lookup.facebook/postId","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","combined/uniqueUserId-fb","retweet.twitter.tweet/possiblySensitive","combined/userHandle","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","lookup.extracted.account/platformId","lookup.general/langs","twitter.tweet/urls","retweet.twitter.tweet/mediaTypes","combined/createdDate","twitter.user/location","lookup.general/social_media_type","retweet.twitter.tweet/quotedStatusId","combined/uniqueUserId","lookup/found","twitter.tweet/favouriteCount","lookup.webcrawl/httpCode","postgresId","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","lookup.general/extracted_from_col","combined/uniqueUserId-tw","lookup.webcrawl/resolvedUrl","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","lookup.general/name"
"en","1901711","517","","","","","","49616273","2009-06-22T12:41:39.000Z","China's national English language newspaper, under the People's Daily. Apps: https://t.co/pKmPtcE99D","","Black people almost twice as likely to die from COVID-19 in UK: study
https://t.co/7KNxOLqdAW https://t.co/sgbuSS3vMF","","","","en","","","","","","false","9","","false","","","","false","","276","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","1311984311546130432","Global Times","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Black people almost twice as likely to die from COVID-19 in UK: study
https://t.co/7KNxOLqdAW https://t.co/sgbuSS3vMF","","","","","","","","false","","","","","","","167383","https://t.co/5BbncctIPQ","false","false","","false","","tw-globaltimesnews","","","4573","","","[https://bit.ly/3cOaAVT]","","2020-10-02T11:00:10.000Z","Beijing, China","","","tw-49616273","","46","","1","","","","","-1","globaltimesnews","","","true","","[http://pbs.twimg.com/media/EjUax1RWAAEwhEu.jpg]","2020-10-02T11:00:10.000Z","","",""
"en","13808285","69","","","","","","1115874631","2013-01-24T03:18:59.000Z","CGTN is an international media organization. It aims to provide global audiences with accurate and timely news coverage as well as rich audiovisual services.","","#LATEST Ivanka Trump and Jared Kushner have tested negative for #COVID19, a White House official Carolina Hurley said Friday on Twitter https://t.co/k9EmBptkIu","","","","en","","","","","","false","11","","false","","","","false","","142","true","","[photo, photo]","","","","tw","","","","","","true","","","false","","","","false","1312028015266676737","CGTN","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#LATEST Ivanka Trump and Jared Kushner have tested negative for #COVID19, a White House official Carolina Hurley said Friday on Twitter https://t.co/k9EmBptkIu","","","","","","","","false","","","","","","","141372","https://t.co/YSOcIymQSt","false","false","","false","","tw-CGTNOfficial","","","7997","","","","","2020-10-02T13:53:49.000Z","Beijing, China","","","tw-1115874631","","76","","2","","","","[LATEST, COVID19]","-1","CGTNOfficial","","","true","","[http://pbs.twimg.com/media/EjVCcCpVoAEHOsD.jpg, http://pbs.twimg.com/media/EjVCflEVoAAnc7Y.jpg]","2020-10-02T13:53:49.000Z","","",""
"en","289691","2191","","","","","","620136960","2012-06-27T14:45:38.000Z","Watch live: https://t.co/rtNij3XmD3 
Material is distributed by MediaLinks TV, LLC on behalf of CCTV. Info available at the Department of Justice in DC.","","White House Press Secretary official memo announcing #Trump and First Lady test positive for #covid19 https://t.co/1iCndubMSI","","","","en","","","","","","false","0","","false","","","","false","","7917","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","1312033817939632131","CGTN America","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","White House Press Secretary official memo announcing #Trump and First Lady test positive for #covid19 https://t.co/1iCndubMSI","","","","","","","","false","","","","","","","70479","https://t.co/aQGRpjLFu1","true","false","","false","","tw-cgtnamerica","","","1263","","","","","2020-10-02T14:16:53.000Z","Washington, DC","","","tw-620136960","","1","","3","","","","[Trump, covid19]","-1","cgtnamerica","","","true","","[http://pbs.twimg.com/media/EjVHdpPWsAAKbKE.jpg]","2020-10-02T14:16:53.000Z","","",""
"en","12629745","64","","","","","","487118986","2012-02-09T01:10:18.000Z","We are public media for the public good. We don't pursue corporate interests, nor will we yield to the pressure of ideological stigmatization and political bias","","A special Chinese film presented at the ongoing Asian Pop-Up Cinema Film Festival in Chicago in celebration of the traditional Chinese Mid-Autumn Festival at a drive-in theater in Chicago https://t.co/TLDIjG4KUi https://t.co/eI1Ea2esF6","","","","en","","","","","","false","8","","false","","","","false","","0","true","","[photo, photo, photo]","","","","tw","","","","","","true","","","false","","","","false","1312065128636977152","China Xinhua News","<a href=""http://static.cms.xinhua-news.cn/sm/twitterxinhuanewsagency/"" rel=""nofollow"">China Xinhua News</a>","A special Chinese film presented at the ongoing Asian Pop-Up Cinema Film Festival in Chicago in celebration of the traditional Chinese Mid-Autumn Festival at a drive-in theater in Chicago https://t.co/TLDIjG4KUi https://t.co/eI1Ea2esF6","","","","","","","","false","","","","","","","181761","","true","false","","false","","tw-XHNews","","","13696","","","[http://xhne.ws/Sy4oV]","","2020-10-02T16:21:18.000Z","Headquartered in Beijing, PRC","","","tw-487118986","","65","","4","","","","","-1","XHNews","","","true","","[http://pbs.twimg.com/media/EjVkR1NU8AE8Kl6.jpg, http://pbs.twimg.com/media/EjVkR2tVgAMBkrG.jpg, http://pbs.twimg.com/media/EjVkRzeVoAAAEl1.jpg]","2020-10-02T16:21:18.000Z","","",""
"en","4373974","540","","","","","","87775422","2009-11-05T20:30:10.000Z","Start a conversation as we share news and analysis from #China and beyond.","","#China's amb. to #UN said President Xi Jinping's speech at high-level UN summit represents a major advance for the spirit of the 4th World Conference on Women and demonstrates China's ongoing dedication to advancing women's rights and bridging gender gaps around world. #XiJinping","","","","en","","","","","","false","13","","false","","","","false","","710","true","","","","","","tw","","","","","","true","","","false","","","","false","1312120168693338113","China Daily","<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","#China's amb. to #UN said President Xi Jinping's speech at high-level UN summit represents a major advance for the spirit of the 4th World Conference on Women and demonstrates China's ongoing dedication to advancing women's rights and bridging gender gaps around world. #XiJinping","","","","","","","","false","","","","","","","134848","","false","false","","false","","tw-ChinaDaily","","","6595","","","","","2020-10-02T20:00:00.000Z","Beijing, China","","","tw-87775422","","44","","5","","","","[China, UN, XiJinping]","-1","ChinaDaily","","","true","","","2020-10-02T20:00:00.000Z","","",""
"en","1373","533","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","335352911158726656","","304314830","2011-05-24T09:23:35.000Z","IOE CI is the world's first schools-based Confucius Institute, supporting the teaching and learning of Chinese in schools across England.","","Delighted to be able to launch the IOE Confucius Institute @IOE_CI - the world's first schools-based CI supporting Chinese in schools","","","","en","false","","","","","false","4","","false","","","","false","","738","true","","","","","0","tw","","","","","2013-05-17T11:15:39.000Z","false","","","false","","","","false","335431265006272512","UCL IOE CI","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Delighted to be able to launch the IOE Confucius Institute @IOE_CI - the world's first schools-based CI supporting Chinese in schools","","","","Delighted to be able to launch the IOE Confucius Institute @IOE_CI - the world's first schools-based CI supporting Chinese in schools","","","RT @Director_IOE: Delighted to be able to launch the IOE Confucius Institute @IOE_CI - the world's first schools-based CI supporting Chines…","false","en","","","","","","1795","http://t.co/GlLqoiis9X","true","false","4","false","false","tw-UCL_IOE_CI","false","","25","","","","","2013-05-17T16:27:00.000Z","UCL Institute of Education, UK","","","tw-304314830","","0","","6","","","","","-1","UCL_IOE_CI","","","true","","","2013-05-17T16:27:00.000Z","","",""
"en","380","286","","","","","","1853735762","2013-09-11T08:26:54.000Z","Confucius Institute at the University of Wales Trinity Saint David: Enriching Lives through Chinese Language and Culture","","Chinese-English translation magazine turns 40. Congratulations! http://t.co/sEcHlYM8Lv http://t.co/3Dk6PS0Gnc","","","","en","","","","","","false","0","","false","","","","false","","16","true","","","","","","tw","","","","","","false","","","false","","","","false","408540991617236992","Confucius@TSD","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Chinese-English translation magazine turns 40. Congratulations! http://t.co/sEcHlYM8Lv http://t.co/3Dk6PS0Gnc","","","","","","","","false","","","","","","","659","http://t.co/3O52pllyGT","false","false","","false","","tw-ConfuciusTSD","","","3","","","[http://www.cuhk.edu.hk/rct/renditions/index.html, http://fb.me/1aP4Fg25u]","","2013-12-05T10:18:57.000Z","Lampeter and Swansea","","","tw-1853735762","","0","","7","","","","","-1","ConfuciusTSD","","","true","","","2013-12-05T10:18:57.000Z","","",""
"en","259726","2242","","","","","","714684004495204352","2016-03-29T05:21:59.000Z","Bringing you the latest on business, finance, economy, IT and TMT in China, plus minute-by-minute stock market updates @chinastock. 中国最大财经媒体第一财经英文资讯服务的官方账号","","About 637 million domestic tourist visits were made in China during the eight-day National Day holiday, per its Ministry of Culture and Tourism, generating CNY467 billion (USD69.6 billion) in revenue, with Wuhan's signature Yellow Crane Tower the 'country's hottest scenic spot.' https://t.co/tTRkUzTdYS","","","","en","","","","","","false","0","","false","","","","false","","856","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","1314455060588486657","Yicai Global 第一财经","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","About 637 million domestic tourist visits were made in China during the eight-day National Day holiday, per its Ministry of Culture and Tourism, generating CNY467 billion (USD69.6 billion) in revenue, with Wuhan's signature Yellow Crane Tower the 'country's hottest scenic spot.' https://t.co/tTRkUzTdYS","","","","","","","","false","","","","","","","64799","https://t.co/MZiBloucxH","true","false","","false","","tw-yicaichina","","","462","","","","","2020-10-09T06:38:02.000Z","Shanghai, China","","","tw-714684004495204352","","0","","8","","","","","-1","yicaichina","","","true","","[http://pbs.twimg.com/media/Ej3h6XQWkAAnpTc.jpg]","2020-10-09T06:38:02.000Z","","",""
"en","1901063","517","","","","","","49616273","2009-06-22T12:41:39.000Z","China's national English language newspaper, under the People's Daily. Apps: https://t.co/pKmPtcE99D","","Just in: Chinese State Councilor and Foreign Minister Wang Yi to visit Cambodia, Malaysia, Laos, Thailand and Singapore from Oct 11 to 15, following invitations from those countries: FM https://t.co/Kc5m2CJlHf","","","","en","","","","","","false","31","","false","","","","false","","276","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","1314465743296102401","Global Times","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Just in: Chinese State Councilor and Foreign Minister Wang Yi to visit Cambodia, Malaysia, Laos, Thailand and Singapore from Oct 11 to 15, following invitations from those countries: FM https://t.co/Kc5m2CJlHf","","","","","","","","false","","","","","","","167790","https://t.co/5BbncctIPQ","false","false","","false","","tw-globaltimesnews","","","4588","","","","","2020-10-09T07:20:29.000Z","Beijing, China","","","tw-49616273","","95","","9","","","","","-1","globaltimesnews","","","true","","[http://pbs.twimg.com/media/Ej3rnQmVoAAbJEF.jpg]","2020-10-09T07:20:29.000Z","","",""
"en","1901227","517","","","","","","49616273","2009-06-22T12:41:39.000Z","China's national English language newspaper, under the People's Daily. Apps: https://t.co/pKmPtcE99D","","China is building a rocket testing and assembling base in Haiyang, East China's Shandong Province, where 20 solid-fuel launch vehicles will be assembled every year after its completion. https://t.co/CfmdCkfK5z","","","","en","","","","","","false","6","","false","","","","false","","276","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","1314503369554157568","Global Times","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","China is building a rocket testing and assembling base in Haiyang, East China's Shandong Province, where 20 solid-fuel launch vehicles will be assembled every year after its completion. https://t.co/CfmdCkfK5z","","","","","","","","false","","","","","","","167847","https://t.co/5BbncctIPQ","false","false","","false","","tw-globaltimesnews","","","4591","","","","","2020-10-09T09:50:00.000Z","Beijing, China","","","tw-49616273","","35","","10","","","","","-1","globaltimesnews","","","true","","[http://pbs.twimg.com/media/Ej4N1mEU8AEG9yK.jpg]","2020-10-09T09:50:00.000Z","","",""
