"language","twitter.user/followersCount","twitter.user/friendsCount","lookup.general/linkPrefix","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","lookup.general/account","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","lookup.facebook/pageLink","retweet.twitter.tweet/originalText","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","lookup.general/extracted_from_file","crowdtangle.post/idNew","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","lookup.webcrawl.error/message","twitter.tweet/isQuote","lookup.general/postgresId","twitter.tweet/placeName","crowdtangle.post/message","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","random/boolean","twitter.tweet/quotedStatusId","twitter.tweet/mediaTypes","lookup.webcrawl/isSuccessful","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","platformPrefix","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","twitter.user/contributorsEnabled","crowdtangle.post/date","crowdtangle.post/platformId","crowdtangle.post/allText","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","twitter.tweet/source","combined/text","retweet.twitter.tweet/latitude","retweet.twitter.tweet/inReplyToStatusID","lookup.general/link_or_handle","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","lookup.facebook/type","lookup.facebook/id","lookup.general/csvId","lookup.facebook/postId","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","combined/uniqueUserId-fb","retweet.twitter.tweet/possiblySensitive","combined/userHandle","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","lookup.extracted.account/platformId","lookup.general/langs","twitter.tweet/urls","retweet.twitter.tweet/mediaTypes","combined/createdDate","twitter.user/location","lookup.general/social_media_type","retweet.twitter.tweet/quotedStatusId","combined/uniqueUserId","lookup/found","twitter.tweet/favouriteCount","lookup.webcrawl/httpCode","postgresId","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","lookup.general/extracted_from_col","combined/uniqueUserId-tw","lookup.webcrawl/resolvedUrl","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","lookup.general/name"
"fr","1030522","158","","","","","","1667162474","2013-08-13T07:57:28.000Z","Compte officiel de CGTN Français,(China Global Television Network), réseau international de média et d'information. E-mail: cgtnfnewmedia@126.com","","VLOG : Un rêve de voyage au Yunnan
Loin de l'agitation de la ville, on écoute attentivement le son de la nature. Yunnan, c'est un rêve.  #LenaStudio #LesSeptCouleurs https://t.co/HNN2FF60eM","","","","fr","","","","","","false","0","","true","","","","false","","265","true","1311274430660714496","","","","","tw","","","","","","true","","","false","","","","false","1311735130268995584","CGTN Français","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","VLOG : Un rêve de voyage au Yunnan
Loin de l'agitation de la ville, on écoute attentivement le son de la nature. Yunnan, c'est un rêve.  #LenaStudio #LesSeptCouleurs https://t.co/HNN2FF60eM","","","","","","","","false","","","","","","","36037","https://t.co/es34OGfcj7","true","false","","false","","tw-CGTNFrancais","","","281","","","[https://twitter.com/lena90830/status/1311274430660714496]","","2020-10-01T18:30:00.000Z","Chine","","","tw-1667162474","","3","","1","","","","[LenaStudio, LesSeptCouleurs]","-1","CGTNFrancais","","","true","","","2020-10-01T18:30:00.000Z","","",""
"fr","411653","883","","","","","","19140447","2009-01-18T09:16:43.000Z","Powered by Shanghai Daily, SHINE is a new digital media product providing you with breaking news, in-depth opinions and insightful analysis.","","Latest #COVID19 figure https://t.co/7oJzHyFi9M","","","","en","","","","","","false","0","","false","","","","false","","769","true","","[photo, photo, photo]","","","","tw","","","","","","true","","","false","","","","false","1311851674429018112","SHINE","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Latest #COVID19 figure https://t.co/7oJzHyFi9M","","","","","","","","false","","","","","","","42356","https://t.co/D8qln4UALG","true","false","","false","","tw-shanghaidaily","","","1203","","","","","2020-10-02T02:13:06.000Z","Shanghai","","","tw-19140447","","2","","2","","","","[COVID19]","-1","shanghaidaily","","","true","","[http://pbs.twimg.com/media/EjSiHbeXgAEjIP6.jpg, http://pbs.twimg.com/media/EjSiHbdXkAAf3oh.jpg, http://pbs.twimg.com/media/EjSiHbdX0AYKpbP.jpg]","2020-10-02T02:13:06.000Z","","",""
"fr","1030522","158","","","","","","1667162474","2013-08-13T07:57:28.000Z","Compte officiel de CGTN Français,(China Global Television Network), réseau international de média et d'information. E-mail: cgtnfnewmedia@126.com","","Hier premier octobre marque le 71e anniversaire de la fondation de la République populaire de Chine. Au petit matin, place Tian'anmen à Beijing... 96 membres de la garde d'honneur de l'Armée populaire de libération de Chine escortent le drapeau national. #FêteNationaleChinoise https://t.co/FZF0epXXgQ","","","","fr","","","","","","false","2","","false","","","","false","","265","true","","[video]","","","","tw","","","","","","true","","","false","","","","false","1311923876516036609","CGTN Français","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Hier premier octobre marque le 71e anniversaire de la fondation de la République populaire de Chine. Au petit matin, place Tian'anmen à Beijing... 96 membres de la garde d'honneur de l'Armée populaire de libération de Chine escortent le drapeau national. #FêteNationaleChinoise https://t.co/FZF0epXXgQ","","","","","","","","false","","","","","","","36037","https://t.co/es34OGfcj7","true","false","","false","","tw-CGTNFrancais","","","281","","","","","2020-10-02T07:00:01.000Z","Chine","","","tw-1667162474","","4","","3","","","","[FêteNationaleChinoise]","-1","CGTNFrancais","","","true","","[http://pbs.twimg.com/media/EjTfda_UwAI9rh2.jpg]","2020-10-02T07:00:01.000Z","","",""
"fr","1030522","158","","","","","","1667162474","2013-08-13T07:57:28.000Z","Compte officiel de CGTN Français,(China Global Television Network), réseau international de média et d'information. E-mail: cgtnfnewmedia@126.com","","Les institutions chinoises à l'étranger célèbrent aussi la fête nationale. Les diplomates chinois à Genève ont organisé une réception en ligne. Les participants comprenaient des représentants de certaines agences onusiennes et des diplomates d'autres pays. #FêteNationaleChinoise https://t.co/CxyEzI3nBU","","","","fr","","","","","","false","2","","false","","","","false","","265","true","","[video]","","","","tw","","","","","","true","","","false","","","","false","1311999370665971713","CGTN Français","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Les institutions chinoises à l'étranger célèbrent aussi la fête nationale. Les diplomates chinois à Genève ont organisé une réception en ligne. Les participants comprenaient des représentants de certaines agences onusiennes et des diplomates d'autres pays. #FêteNationaleChinoise https://t.co/CxyEzI3nBU","","","","","","","","false","","","","","","","36037","https://t.co/es34OGfcj7","true","false","","false","","tw-CGTNFrancais","","","281","","","","","2020-10-02T12:00:00.000Z","Chine","","","tw-1667162474","","5","","4","","","","[FêteNationaleChinoise]","-1","CGTNFrancais","","","true","","[http://pbs.twimg.com/media/EjTf4LfVoAIiIiA.jpg]","2020-10-02T12:00:00.000Z","","",""
"fr","1030321","158","","","","","","1667162474","2013-08-13T07:57:28.000Z","Compte officiel de CGTN Français,(China Global Television Network), réseau international de média et d'information. E-mail: cgtnfnewmedia@126.com","","En direct ! William Latour, directeur général français de l'hôtel CHAO, nous décrit la reprise du travail de son hôtellerie à Beijing dans l'ère post-épidémique. #QuoiDeNeufEnChine #coronavirus #COVID19 https://t.co/9AQB36mZCs","","","","fr","","","","","","false","2","","false","","","","false","","265","true","","","","","","tw","","","","","","true","","","false","","","","false","1313026166182223872","CGTN Français","<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","En direct ! William Latour, directeur général français de l'hôtel CHAO, nous décrit la reprise du travail de son hôtellerie à Beijing dans l'ère post-épidémique. #QuoiDeNeufEnChine #coronavirus #COVID19 https://t.co/9AQB36mZCs","","","","","","","","false","","","","","","","36116","https://t.co/es34OGfcj7","true","false","","false","","tw-CGTNFrancais","","","281","","","[https://www.pscp.tv/w/ckl4hzFNV0V3TXpXT1pyS2J8MXpxSlZlZWViYllHQgPKXnbCRhgxm6FsUod4SdgAbE-x4yWWyhxdHlAIFx-l]","","2020-10-05T08:00:07.000Z","Chine","","","tw-1667162474","","3","","5","","","","[QuoiDeNeufEnChine, coronavirus, COVID19]","-1","CGTNFrancais","","","true","","","2020-10-05T08:00:07.000Z","","",""
"fr","1945","65","","","","","","1201271102305165314","2019-12-01T22:46:10.000Z","CAO Zhongming,  Chinese Ambassador to the Kingdom of Belgium🇨🇳🇧🇪","","Voici ce qu'un touriste pékinois a vu au Xinjiang hier soir:la vie nocturne paisible et agréable à Kashgar,3ème plus grande ville du Xinjiang.Wat een toerist uit Peking gisteravond in Xinjiang zag:het vredige en aangename nachtleven in Kashgar,de derde grootste stad van Xinjiang. https://t.co/6FRlhvAJmF","","","","fr","","","","","","false","0","","false","","","","false","","82","true","","[photo, photo, photo, photo]","","","","tw","","","","","","true","","","false","","","","false","1313028131339538432","Cao Zhongming","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Voici ce qu'un touriste pékinois a vu au Xinjiang hier soir:la vie nocturne paisible et agréable à Kashgar,3ème plus grande ville du Xinjiang.Wat een toerist uit Peking gisteravond in Xinjiang zag:het vredige en aangename nachtleven in Kashgar,de derde grootste stad van Xinjiang. https://t.co/6FRlhvAJmF","","","","","","","","false","","","","","","","297","https://t.co/9Wrjb24YkO","true","false","","false","","tw-ChinaAmbBelgium","","","35","","","","","2020-10-05T08:07:56.000Z","Bruxelles, Belgique","","","tw-1201271102305165314","","2","","6","","","","","-1","ChinaAmbBelgium","","","true","","[http://pbs.twimg.com/media/EjjQHk-WoAAyjgW.jpg, http://pbs.twimg.com/media/EjjQH0BX0AEbbJB.jpg, http://pbs.twimg.com/media/EjjQIBMXkAES-TP.jpg, http://pbs.twimg.com/media/EjjQIIdWAAEdRB9.jpg]","2020-10-05T08:07:56.000Z","","",""
"fr","1030321","158","","","","","","1667162474","2013-08-13T07:57:28.000Z","Compte officiel de CGTN Français,(China Global Television Network), réseau international de média et d'information. E-mail: cgtnfnewmedia@126.com","","【Voyage à Chengdu, ville paradisiaque】EP3-Comme convenu, Coco a fait une vidéo pour vous présenter #Chengdu, la ville natale des pandas géants et un paradis pour les gourmands. #China #CocoStudio #gastronomie #panda https://t.co/CcN8ne0CSs","","","","fr","","","","","","false","1","","true","","","","false","","265","true","1313031162495815680","","","","","tw","","","","","","true","","","false","","","","false","1313035554661965825","CGTN Français","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","【Voyage à Chengdu, ville paradisiaque】EP3-Comme convenu, Coco a fait une vidéo pour vous présenter #Chengdu, la ville natale des pandas géants et un paradis pour les gourmands. #China #CocoStudio #gastronomie #panda https://t.co/CcN8ne0CSs","","","","","","","","false","","","","","","","36116","https://t.co/es34OGfcj7","true","false","","false","","tw-CGTNFrancais","","","281","","","[https://twitter.com/CocoStudio4/status/1313031162495815680]","","2020-10-05T08:37:25.000Z","Chine","","","tw-1667162474","","1","","7","","","","[Chengdu, China, CocoStudio, gastronomie, panda]","-1","CGTNFrancais","","","true","","","2020-10-05T08:37:25.000Z","","",""
"fr","1030251","158","","","","","","1667162474","2013-08-13T07:57:28.000Z","Compte officiel de CGTN Français,(China Global Television Network), réseau international de média et d'information. E-mail: cgtnfnewmedia@126.com","","La « Cité de pierre » située sur le plateau du Pamir est un lieu au passé toujours vif parmi ses ruines. On connaît son importance vitale sur la Route de la Soie à une époque lointaine... 
#Xinjiang #MonCarnetDeRouteAuXinjiang #Pamir #Pierre #Taxkorgan https://t.co/kuKdB3bAQu","","","","fr","","","","","","false","0","","false","","","","false","","265","true","","[photo, photo, photo, photo]","","","","tw","","","","","","true","","","false","","","","false","1313388524096221184","CGTN Français","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","La « Cité de pierre » située sur le plateau du Pamir est un lieu au passé toujours vif parmi ses ruines. On connaît son importance vitale sur la Route de la Soie à une époque lointaine... 
#Xinjiang #MonCarnetDeRouteAuXinjiang #Pamir #Pierre #Taxkorgan https://t.co/kuKdB3bAQu","","","","","","","","false","","","","","","","36138","https://t.co/es34OGfcj7","true","false","","false","","tw-CGTNFrancais","","","281","","","","","2020-10-06T08:00:00.000Z","Chine","","","tw-1667162474","","1","","8","","","","[Xinjiang, MonCarnetDeRouteAuXinjiang, Pamir, Pierre, Taxkorgan]","-1","CGTNFrancais","","","true","","[http://pbs.twimg.com/media/EjnUDJ5UYAUTnZX.jpg, http://pbs.twimg.com/media/EjnUDJ4VoAAi6cC.jpg, http://pbs.twimg.com/media/EjnUDJ5U8AEJEwI.jpg, http://pbs.twimg.com/media/EjnUDJ6UcAEEMgQ.jpg]","2020-10-06T08:00:00.000Z","","",""
"fr","1030003","158","","","","","","1667162474","2013-08-13T07:57:28.000Z","Compte officiel de CGTN Français,(China Global Television Network), réseau international de média et d'information. E-mail: cgtnfnewmedia@126.com","","À #Suncheon, en #CoréeduSud, différentes variétés de riz ont été plantées de manière à former de jolies images dans les champs. En se plaçant en hauteur, on découvre divers dessins d'animaux, le tout formant ce qu'on pourrait qualifier de ""riziculture artistique"". https://t.co/V2ty1uYMEB","","","","fr","","","","","","false","0","","false","","","","false","","265","true","","[photo, photo, photo, photo]","","","","tw","","","","","","true","","","false","","","","false","1314611585739091973","CGTN Français","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","À #Suncheon, en #CoréeduSud, différentes variétés de riz ont été plantées de manière à former de jolies images dans les champs. En se plaçant en hauteur, on découvre divers dessins d'animaux, le tout formant ce qu'on pourrait qualifier de ""riziculture artistique"". https://t.co/V2ty1uYMEB","","","","","","","","false","","","","","","","36251","https://t.co/es34OGfcj7","true","false","","false","","tw-CGTNFrancais","","","280","","","","","2020-10-09T17:00:00.000Z","Chine","","","tw-1667162474","","4","","9","","","","[Suncheon, CoréeduSud]","-1","CGTNFrancais","","","true","","[http://pbs.twimg.com/media/Ej3W6_5VkAEVrFB.jpg, http://pbs.twimg.com/media/Ej3W6_7VcAIpdIY.jpg, http://pbs.twimg.com/media/Ej3W6_5UcAAKjtE.jpg, http://pbs.twimg.com/media/Ej3W6_6UYAABgSA.jpg]","2020-10-09T17:00:00.000Z","","",""
"fr","26297","1728","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false","1314767733926449152","","1161600064214753280","2019-08-14T11:26:51.000Z","Ambassade de Chine en France","","D’après Philippe Klein, médecin français à Wuhan : ""L’épidémie est terminée en Chine, la vie a repris son cours""
https://t.co/7WTMXktdmx https://t.co/gkHGlux8IU","","","","fr","false","[1241340119594008578]","","","","false","4","","false","","","","false","[https://www.marianne.net/monde/asie/dapres-philippe-klein-medecin-francais-a-wuhan-lepidemie-est-terminee-en-chine-la-vie-a-repris-son-cours]","4680","true","","","","","12","tw","","","","[http://pbs.twimg.com/media/Ej7-R7fVcAEWNOP.jpg]","2020-10-10T03:20:29.000Z","true","","","false","","","","false","1314817021725618176","Ambassade de Chine en France","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","D’après Philippe Klein, médecin français à Wuhan : ""L’épidémie est terminée en Chine, la vie a repris son cours""
https://t.co/7WTMXktdmx https://t.co/gkHGlux8IU","","","","D’après Philippe Klein, médecin français à Wuhan : ""L’épidémie est terminée en Chine, la vie a repris son cours""
https://t.co/7WTMXktdmx https://t.co/gkHGlux8IU","","","RT @dialogueCHN_FRA: D’après Philippe Klein, médecin français à Wuhan : ""L’épidémie est terminée en Chine, la vie a repris son cours""
https…","false","fr","","","","","","4977","https://t.co/F6n3tzJuc4","true","false","4","false","false","tw-AmbassadeChine","false","","124","","","","[photo]","2020-10-10T06:36:20.000Z","20 Rue Monsieur 75007 Paris","","","tw-1161600064214753280","","0","","10","","","","","-1","AmbassadeChine","","","true","","","2020-10-10T06:36:20.000Z","","[dialogueCHN_FRA]",""
