"language","twitter.user/followersCount","twitter.user/friendsCount","lookup.general/linkPrefix","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","lookup.general/account","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","lookup.facebook/pageLink","retweet.twitter.tweet/originalText","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","lookup.general/extracted_from_file","crowdtangle.post/idNew","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","lookup.webcrawl.error/message","twitter.tweet/isQuote","lookup.general/postgresId","twitter.tweet/placeName","crowdtangle.post/message","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","random/boolean","twitter.tweet/quotedStatusId","twitter.tweet/mediaTypes","lookup.webcrawl/isSuccessful","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","platformPrefix","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","twitter.user/contributorsEnabled","crowdtangle.post/date","crowdtangle.post/platformId","crowdtangle.post/allText","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","twitter.tweet/source","combined/text","retweet.twitter.tweet/latitude","retweet.twitter.tweet/inReplyToStatusID","lookup.general/link_or_handle","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","lookup.facebook/type","lookup.facebook/id","lookup.general/csvId","lookup.facebook/postId","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","combined/uniqueUserId-fb","retweet.twitter.tweet/possiblySensitive","combined/userHandle","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","lookup.extracted.account/platformId","lookup.general/langs","twitter.tweet/urls","retweet.twitter.tweet/mediaTypes","combined/createdDate","twitter.user/location","lookup.general/social_media_type","retweet.twitter.tweet/quotedStatusId","combined/uniqueUserId","lookup/found","twitter.tweet/favouriteCount","lookup.webcrawl/httpCode","postgresId","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","lookup.general/extracted_from_col","combined/uniqueUserId-tw","lookup.webcrawl/resolvedUrl","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","lookup.general/name"
"es","","","https://www.facebook.com/","","","","https://www.facebook.com/EmbajadaChinaCostaRica/","","","","","","","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","","ChinaSocialMedia20200928.xlsx","9867877|207428414070567","","","","","124","","¡Vean qué bonita entrevista que hicieron al Sr. Rodrigo Delgado, embajador de Costa Rica en China!","","","","true","","","true","","","fb","","","","","","","","","","2020-10-14T00:30:00.000Z","109380197208723_207428414070567","¡Vean qué bonita entrevista que hicieron al Sr. Rodrigo Delgado, embajador de Costa Rica en China!","","","","","¡Vean qué bonita entrevista que hicieron al Sr. Rodrigo Delgado, embajador de Costa Rica en China!","","","link","","","","","","","PAGE","EmbajadaChinaCostaRica","123","","","","","","","","true","","fb-EmbajadaChinaCostaRica","","","","109380197208723","['english', 'n/a', 'n/a']","","","2020-10-14T00:30:00.000Z","","fb","","fb-109380197208723","true","","200","3","","","","","","","","Main Facebook Page Link","false","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","chinese_embassy_facebook_page_link"
"es","","","https://www.facebook.com/","","","","https://www.facebook.com/EmbajadaChinaCostaRica/","","","","","","","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","","ChinaSocialMedia20200928.xlsx","9867877|207318647414877","","","","","124","","En los últimos años se ha visto un fenómeno de que cada día hay más amantes jóvenes de la cultura Hanfu, vestido tradicional de China. ¿Qué tal les parece?","","","","true","","","true","","","fb","","","","","","","","","","2020-10-13T14:17:28.000Z","109380197208723_207318647414877","En los últimos años se ha visto un fenómeno de que cada día hay más amantes jóvenes de la cultura Hanfu, vestido tradicional de China. ¿Qué tal les parece? Hanfu es la ropa tradicional usada por la etnia han de China hasta la Dinastía Qing. En la actualidad, la cultura tradicional china de Hanfu ha recibido gradualmente el reconocimiento del público.","","","","","En los últimos años se ha visto un fenómeno de que cada día hay más amantes jóvenes de la cultura Hanfu, vestido tradicional de China. ¿Qué tal les parece?","","","link","","","","","","","PAGE","EmbajadaChinaCostaRica","123","","","","","","","","true","","fb-EmbajadaChinaCostaRica","","","","109380197208723","['english', 'n/a', 'n/a']","","","2020-10-13T14:17:28.000Z","","fb","","fb-109380197208723","true","","200","6","","","","","","","","Main Facebook Page Link","false","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","chinese_embassy_facebook_page_link"
"es","","","https://www.facebook.com/","","","","https://www.facebook.com/EmbajadaChinaSV/","","","","","","","https://www.facebook.com/EmbajadaChinaSV","","","","","","ChinaSocialMedia20200928.xlsx","11445985|1503169489872941","","","","","127","","Hoy el Encargado de Negocios de la Embajada, Sr. Huang Kunyu se reunió con la Ministra de Cultura, Suecy Callejas Estrada, intercambiaron opiniones sobre la cooperación cultural entre China y El Salvador, y los proyectos concernientes.","","","","true","","","true","","","fb","","","","","","","","","","2020-10-13T00:43:19.000Z","1030566077133287_1503169489872941","Hoy el Encargado de Negocios de la Embajada, Sr. Huang Kunyu se reunió con la Ministra de Cultura, Suecy Callejas Estrada, intercambiaron opiniones sobre la cooperación cultural entre China y El Salvador, y los proyectos concernientes. PULTURA MINISTERIO ULTURA","","","","","Hoy el Encargado de Negocios de la Embajada, Sr. Huang Kunyu se reunió con la Ministra de Cultura, Suecy Callejas Estrada, intercambiaron opiniones sobre la cooperación cultural entre China y El Salvador, y los proyectos concernientes.","","","link","","","","","","","PAGE","EmbajadaChinaSV","126","","","","","","","","true","","fb-EmbajadaChinaSV","","","","1030566077133287","['spanish', 'english', 'n/a']","","","2020-10-13T00:43:19.000Z","","fb","","fb-1030566077133287","true","","200","9","","","","","","","","Main Facebook Page Link","false","https://www.facebook.com/EmbajadaChinaSV","","","","","chinese_embassy_facebook_page_link"
"es","","","https://www.facebook.com/","","","","https://www.facebook.com/EmbajadaChinaCostaRica/","","","","","","","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","","ChinaSocialMedia20200928.xlsx","9867877|206154150864660","","","","","124","","¡La isla de Hainan en el sur de China es lindísima! Con agua cristalina, arena dorada, y un clima excelente, Hainan tiene playas muy bellas igual que muchas playas de América Latina y el Caribe. ¿Les gustaría visitarla? 🏖️","","","","true","","","true","","","fb","","","","","","","","","","2020-10-11T21:22:58.000Z","109380197208723_206154150864660","¡La isla de Hainan en el sur de China es lindísima! Con agua cristalina, arena dorada, y un clima excelente, Hainan tiene playas muy bellas igual que muchas playas de América Latina y el Caribe. ¿Les gustaría visitarla? 🏖️ Tourists have fun at Dadonghai scenic area in Sanya City, south China's Hainan Province, Oct. 6, 2020. Tourist attractions in Sanya attracted tourists all over the country during the National Day and Mid-Autumn Festival holiday. (Xinhua)","","","","","¡La isla de Hainan en el sur de China es lindísima! Con agua cristalina, arena dorada, y un clima excelente, Hainan tiene playas muy bellas igual que muchas playas de América Latina y el Caribe. ¿Les gustaría visitarla? 🏖️","","","link","","","","","","","PAGE","EmbajadaChinaCostaRica","123","","","","","","","","true","","fb-EmbajadaChinaCostaRica","","","","109380197208723","['english', 'n/a', 'n/a']","","","2020-10-11T21:22:58.000Z","","fb","","fb-109380197208723","true","","200","13","","","","","","","","Main Facebook Page Link","false","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","chinese_embassy_facebook_page_link"
"es","","","https://www.facebook.com/","","","","https://www.facebook.com/EmbajadaChinaCostaRica/","","","","","","","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","","ChinaSocialMedia20200928.xlsx","9867877|206196514193757","","","","","124","","Una fuerte economía china sin duda es beneficiosa para el resto del mundo.","","","","true","","","true","","","fb","","","","","","","","","","2020-10-11T15:00:49.000Z","109380197208723_206196514193757","Una fuerte economía china sin duda es beneficiosa para el resto del mundo. ​La Organización Mundial del Comercio predice una caída del comercio de mercancías a nivel global de un 9,2 % y advierte de que la bajada podría ser mayor si la pandemia continúa expandiéndose.","","","","","Una fuerte economía china sin duda es beneficiosa para el resto del mundo.","","","link","","","","","","","PAGE","EmbajadaChinaCostaRica","123","","","","","","","","true","","fb-EmbajadaChinaCostaRica","","","","109380197208723","['english', 'n/a', 'n/a']","","","2020-10-11T15:00:49.000Z","","fb","","fb-109380197208723","true","","200","16","","","","","","","","Main Facebook Page Link","false","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","chinese_embassy_facebook_page_link"
"es","","","https://www.facebook.com/","","","","https://www.facebook.com/ChinaEmbAngola/","","","","","","","https://www.facebook.com/ChinaEmbAngola","","","","","","ChinaSocialMedia20200928.xlsx","11445978|184487023201075","","","","","111","","Especialistas médicos da #China apresentam experiências chinesas sobre Protocolo de Diagnóstico e Tratamento da #COVID19 aos colegas angolanos, com a participação de S.E. Ministra da Saúde de #Angola Sílvia Lutucuta，utilizando as tecnologias de Huawei #juntosnocombate","","","","true","","","true","","","fb","","","","","","","","","","2020-10-10T21:43:10.000Z","104069964576115_184487023201075","Especialistas médicos da #China apresentam experiências chinesas sobre Protocolo de Diagnóstico e Tratamento da #COVID19 aos colegas angolanos, com a participação de S.E. Ministra da Saúde de #Angola Sílvia Lutucuta，utilizando as tecnologias de Huawei #juntosnocombate","","","","","Especialistas médicos da #China apresentam experiências chinesas sobre Protocolo de Diagnóstico e Tratamento da #COVID19 aos colegas angolanos, com a participação de S.E. Ministra da Saúde de #Angola Sílvia Lutucuta，utilizando as tecnologias de Huawei #juntosnocombate","","","link","","","","","","","PAGE","ChinaEmbAngola","110","","","","","","","","true","","fb-ChinaEmbAngola","","","","104069964576115","['english', 'n/a', 'n/a']","","","2020-10-10T21:43:10.000Z","","fb","","fb-104069964576115","true","","200","19","","","","","","","","Main Facebook Page Link","false","https://www.facebook.com/ChinaEmbAngola","","","","","chinese_embassy_facebook_page_link"
"es","","","https://www.facebook.com/","","","","https://www.facebook.com/EmbajadaChinaCostaRica/","","","","","","","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","","ChinaSocialMedia20200928.xlsx","9867877|206152170864858","","","","","124","","China acumuló un recorte total de 276 mil millones de dólares en impuestos y aranceles en los primeros 8 meses de este año, para promover el desarrollo económico y garantizar estabilidad de empleo. Desde el brote de la pandemia, el gobierno chino ha impulsado una serie de medidas de alivio para la economía.","","","","true","","","true","","","fb","","","","","","","","","","2020-10-10T15:10:09.000Z","109380197208723_206152170864858","China acumuló un recorte total de 276 mil millones de dólares en impuestos y aranceles en los primeros 8 meses de este año, para promover el desarrollo económico y garantizar estabilidad de empleo. Desde el brote de la pandemia, el gobierno chino ha impulsado una serie de medidas de alivio para la economía.","","","","","China acumuló un recorte total de 276 mil millones de dólares en impuestos y aranceles en los primeros 8 meses de este año, para promover el desarrollo económico y garantizar estabilidad de empleo. Desde el brote de la pandemia, el gobierno chino ha impulsado una serie de medidas de alivio para la economía.","","","link","","","","","","","PAGE","EmbajadaChinaCostaRica","123","","","","","","","","true","","fb-EmbajadaChinaCostaRica","","","","109380197208723","['english', 'n/a', 'n/a']","","","2020-10-10T15:10:09.000Z","","fb","","fb-109380197208723","true","","200","21","","","","","","","","Main Facebook Page Link","false","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","chinese_embassy_facebook_page_link"
"es","","","https://www.facebook.com/","","","","https://www.facebook.com/EmbajadaChinaCostaRica/","","","","","","","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","","ChinaSocialMedia20200928.xlsx","9867877|206151784198230","","","","","124","","¡Excelente noticia para la biodiversidad! Un leopardo de nieve, especie vulnerable en peligro de extinción, y sus cachorros, fueron vistos hace poco en la provincia de Qinghai.","","","","true","","","true","","","fb","","","","","","","","","","2020-10-09T21:03:32.000Z","109380197208723_206151784198230","¡Excelente noticia para la biodiversidad! Un leopardo de nieve, especie vulnerable en peligro de extinción, y sus cachorros, fueron vistos hace poco en la provincia de Qinghai. A mother snow leopard and her kid were was spotted for the first time on infrared camera in a valley of Haidong City of northwest China's Qinghai province in September, showing that the habitats of the rare species has been extended to the eastern end of the Qilian Mountains.","","","","","¡Excelente noticia para la biodiversidad! Un leopardo de nieve, especie vulnerable en peligro de extinción, y sus cachorros, fueron vistos hace poco en la provincia de Qinghai.","","","link","","","","","","","PAGE","EmbajadaChinaCostaRica","123","","","","","","","","true","","fb-EmbajadaChinaCostaRica","","","","109380197208723","['english', 'n/a', 'n/a']","","","2020-10-09T21:03:32.000Z","","fb","","fb-109380197208723","true","","200","23","","","","","","","","Main Facebook Page Link","false","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","chinese_embassy_facebook_page_link"
"es","","","https://www.facebook.com/","","","","https://www.facebook.com/EmbajadaChinaCostaRica/","","","","","","","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","","ChinaSocialMedia20200928.xlsx","9867877|205421087604633","","","","","124","","Presidente Xi Jinping, fascinado por las reliquias culturales, ha puesto suma atención a la protección de los patrimonios culturales.","","","","true","","","true","","","fb","","","","","","","","","","2020-10-08T23:45:28.000Z","109380197208723_205421087604633","Presidente Xi Jinping, fascinado por las reliquias culturales, ha puesto suma atención a la protección de los patrimonios culturales. Chinese President Xi Jinping’s fascination for cultural relics","","","","","Presidente Xi Jinping, fascinado por las reliquias culturales, ha puesto suma atención a la protección de los patrimonios culturales.","","","link","","","","","","","PAGE","EmbajadaChinaCostaRica","123","","","","","","","","true","","fb-EmbajadaChinaCostaRica","","","","109380197208723","['english', 'n/a', 'n/a']","","","2020-10-08T23:45:28.000Z","","fb","","fb-109380197208723","true","","200","184","","","","","","","","Main Facebook Page Link","false","https://www.facebook.com/EmbajadaChinaCostaRica","","","","","chinese_embassy_facebook_page_link"
"es","","","https://www.facebook.com/","","","","https://www.facebook.com/chinaembajada/","","","","","","","https://www.facebook.com/chinaembajada","","","","","","ChinaSocialMedia20200928.xlsx","11445984|184193603162470","","","","","123","","Conozca un poco más las medidas que tomó el Gobierno Chino 🇨🇳 en la primera fase de la pandemia. Las acciones que se realizaron en conjunto 🤲 en un tiempo temprano son el resultado de la contingencia efectiva del virus. ✅","","","","true","","","true","","","fb","","","","","","","","","","2020-10-08T21:48:43.000Z","102057058042792_184193603162470","Conozca un poco más las medidas que tomó el Gobierno Chino 🇨🇳 en la primera fase de la pandemia. Las acciones que se realizaron en conjunto 🤲 en un tiempo temprano son el resultado de la contingencia efectiva del virus. ✅","","","","","Conozca un poco más las medidas que tomó el Gobierno Chino 🇨🇳 en la primera fase de la pandemia. Las acciones que se realizaron en conjunto 🤲 en un tiempo temprano son el resultado de la contingencia efectiva del virus. ✅","","","link","","","","","","","PAGE","chinaembajada","122","","","","","","","","true","","fb-chinaembajada","","","","102057058042792","['spanish', 'n/a', 'n/a']","","","2020-10-08T21:48:43.000Z","","fb","","fb-102057058042792","true","","200","185","","","","","","","","Main Facebook Page Link","false","https://www.facebook.com/chinaembajada","","","","","chinese_embassy_facebook_page_link"
