"language","twitter.user/followersCount","twitter.user/friendsCount","lookup.general/linkPrefix","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","lookup.general/account","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","lookup.facebook/pageLink","retweet.twitter.tweet/originalText","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","lookup.general/extracted_from_file","crowdtangle.post/idNew","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","lookup.webcrawl.error/message","twitter.tweet/isQuote","lookup.general/postgresId","twitter.tweet/placeName","crowdtangle.post/message","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","random/boolean","twitter.tweet/quotedStatusId","twitter.tweet/mediaTypes","lookup.webcrawl/isSuccessful","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","platformPrefix","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","twitter.user/contributorsEnabled","crowdtangle.post/date","crowdtangle.post/platformId","crowdtangle.post/allText","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","twitter.tweet/source","combined/text","retweet.twitter.tweet/latitude","retweet.twitter.tweet/inReplyToStatusID","lookup.general/link_or_handle","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","lookup.facebook/type","lookup.facebook/id","lookup.general/csvId","lookup.facebook/postId","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","combined/uniqueUserId-fb","retweet.twitter.tweet/possiblySensitive","combined/userHandle","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","lookup.extracted.account/platformId","lookup.general/langs","twitter.tweet/urls","retweet.twitter.tweet/mediaTypes","combined/createdDate","twitter.user/location","lookup.general/social_media_type","retweet.twitter.tweet/quotedStatusId","combined/uniqueUserId","lookup/found","twitter.tweet/favouriteCount","lookup.webcrawl/httpCode","postgresId","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","lookup.general/extracted_from_col","combined/uniqueUserId-tw","lookup.webcrawl/resolvedUrl","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","lookup.general/name"
"es","602162","147","","","","","","761469053181370369","2016-08-05T07:49:04.000Z","CGTN es una organización internacional de medios busca proporcionar a las audiencias globales una cobertura noticiosa precisa y oportuna.","","Las fuerzas armadas de #Azerbaiyán y #Armenia han intensificado los ataques desde que se iniciaron los combates el pasado domingo. Ambos países se han acusado mutuamente de iniciar el ataque. 
https://t.co/4dbKwYOZbQ","","","","es","","","","","","false","5","","false","","","","false","","3417","true","","","","","","tw","","","","","","true","","","false","","","","false","1311622036075302912","CGTN en Español","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Las fuerzas armadas de #Azerbaiyán y #Armenia han intensificado los ataques desde que se iniciaron los combates el pasado domingo. Ambos países se han acusado mutuamente de iniciar el ataque. 
https://t.co/4dbKwYOZbQ","","","","","","","","false","","","","","","","40667","https://t.co/83y6t7SuAZ","true","false","","false","","tw-cgtnenespanol","","","778","","","[https://buff.ly/2GertND]","","2020-10-01T11:00:36.000Z","北京, 中华人民共和国","","","tw-761469053181370369","","7","","1","","","","[Azerbaiyán, Armenia]","-1","cgtnenespanol","","","true","","","2020-10-01T11:00:36.000Z","","",""
"es","6246","65","","","","","","1201536069403058176","2019-12-02T16:18:57.000Z","Bienvenidos a la cuenta oficial de la Embajada de la República Popular China en Ecuador","","(1/1) 🎉Hoy celebramos el Aniversario 71º de la Fundación de la República Popular China🇨🇳","","","","es","","","","","","false","2","","false","","","","false","","341","true","","","","","","tw","","","","","","false","","","false","","","","false","1311684915394678784","Embajada de la República Popular China en Ecuador","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","(1/1) 🎉Hoy celebramos el Aniversario 71º de la Fundación de la República Popular China🇨🇳","","","","","","","","false","","","","","","","1410","https://t.co/wP7b0J6WYc","true","false","","false","","tw-EmbajadaChinaEc","","","25","","","","","2020-10-01T15:10:28.000Z","Quito","","","tw-1201536069403058176","","20","","2","","","","","-1","EmbajadaChinaEc","","","true","","","2020-10-01T15:10:28.000Z","","",""
"es","9004","620","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false","1311478364096602118","","769011542033633280","2016-08-26T03:20:14.000Z","Embajador de China en Venezuela","","El Banco de Venezuela debe ser el eje del sistema Petro, del manejo de las criptomonedas y de las divisas convertibles en el país. Vamos a crear un circuito virtuoso de financiamiento a los productores con maquinarias e insumos para la siembra, a través de nuestra criptomoneda. https://t.co/4W5dMdZ3qw","","","","es","false","[1252764865]","","","","false","2571","","false","","","","false","","15195","true","","","","","1841","tw","","","","[http://pbs.twimg.com/media/EjNOjf6WsAAxmRN.jpg, http://pbs.twimg.com/media/EjNOmEQWsAASG4j.jpg, http://pbs.twimg.com/media/EjNOnk-XsAMAPJ4.jpg]","2020-10-01T01:29:42.000Z","false","","","false","","","","false","1311828679027240962","Li Baorong","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","El Banco de Venezuela debe ser el eje del sistema Petro, del manejo de las criptomonedas y de las divisas convertibles en el país. Vamos a crear un circuito virtuoso de financiamiento a los productores con maquinarias e insumos para la siembra, a través de nuestra criptomoneda. https://t.co/4W5dMdZ3qw","","","","El Banco de Venezuela debe ser el eje del sistema Petro, del manejo de las criptomonedas y de las divisas convertibles en el país. Vamos a crear un circuito virtuoso de financiamiento a los productores con maquinarias e insumos para la siembra, a través de nuestra criptomoneda. https://t.co/4W5dMdZ3qw","","","RT @NicolasMaduro: El Banco de Venezuela debe ser el eje del sistema Petro, del manejo de las criptomonedas y de las divisas convertibles e…","false","es","","","","","","15212","","false","false","2571","false","false","tw-Li_Baorong","false","","30","","","","[photo, photo, photo]","2020-10-02T00:41:44.000Z","Caracas, Venezuela","","","tw-769011542033633280","","0","","3","","","","","-1","Li_Baorong","","","true","","","2020-10-02T00:41:44.000Z","","[NicolasMaduro]",""
"es","16295","343","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false","1311828473866985478","","925561028469035008","2017-11-01T03:12:00.000Z","Embajador de China en Panamá 🇨🇳🇵🇦","","¡Quiero extender felicitaciones por los 71 Aniversario de la Proclamación de la República Popular China, el 1 de octubre de 1949 por el Presidente Mao Tse-Tung!  Gracias por enseñar su filosofía y compartir su sabiduría con los panameños y el mundo. @weiasecas @juliojiangwei","","","","es","false","[2630084182]","","","","false","2","","false","","","","false","","22770","true","","","","","8","tw","","","","","2020-10-02T00:40:55.000Z","false","","[weiasecas, juliojiangwei]","false","","","","false","1311841445641441281","魏强  WEI Qiang","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","¡Quiero extender felicitaciones por los 71 Aniversario de la Proclamación de la República Popular China, el 1 de octubre de 1949 por el Presidente Mao Tse-Tung!  Gracias por enseñar su filosofía y compartir su sabiduría con los panameños y el mundo. @weiasecas @juliojiangwei","","","","¡Quiero extender felicitaciones por los 71 Aniversario de la Proclamación de la República Popular China, el 1 de octubre de 1949 por el Presidente Mao Tse-Tung!  Gracias por enseñar su filosofía y compartir su sabiduría con los panameños y el mundo. @weiasecas @juliojiangwei","","[925561028469035008, 917440252284940289]","RT @LuisCGonzalezB: ¡Quiero extender felicitaciones por los 71 Aniversario de la Proclamación de la República Popular China, el 1 de octubr…","false","es","","","","","","15838","","true","false","2","false","false","tw-weiasecas","false","","65","","","","","2020-10-02T01:32:28.000Z","","","","tw-925561028469035008","","0","","4","","","","","-1","weiasecas","","","true","","","2020-10-02T01:32:28.000Z","","[LuisCGonzalezB]",""
"es","602066","147","","","","","","761469053181370369","2016-08-05T07:49:04.000Z","CGTN es una organización internacional de medios busca proporcionar a las audiencias globales una cobertura noticiosa precisa y oportuna.","","Hay un lindo ""panda gigante"" llamado Xiangxiang. Es protagonista del manga Diario de Xiangxiang, que es muy popular en las redes sociales. La autora es un personal de cuarentena en la estación de cuarentena del aeropuerto de #Japón.#China #coronavirus https://t.co/8rIrjRvkno","","","","es","","","","","","false","3","","false","","","","false","","3417","true","","[photo, photo, photo, photo]","","","","tw","","","","","","true","","","false","","","","false","1313192372923236354","CGTN en Español","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Hay un lindo ""panda gigante"" llamado Xiangxiang. Es protagonista del manga Diario de Xiangxiang, que es muy popular en las redes sociales. La autora es un personal de cuarentena en la estación de cuarentena del aeropuerto de #Japón.#China #coronavirus https://t.co/8rIrjRvkno","","","","","","","","false","","","","","","","40774","https://t.co/83y6t7SuAZ","true","false","","false","","tw-cgtnenespanol","","","776","","","","","2020-10-05T19:00:34.000Z","北京, 中华人民共和国","","","tw-761469053181370369","","7","","5","","","","[Japón, China, coronavirus]","-1","cgtnenespanol","","","true","","[http://pbs.twimg.com/media/EjllgKhWkAY8FW2.jpg, http://pbs.twimg.com/media/EjllfvZXkAElcYe.jpg, http://pbs.twimg.com/media/EjllgFSWAAoea1H.png, http://pbs.twimg.com/media/Ejllf93XkAEJDSS.jpg]","2020-10-05T19:00:34.000Z","","",""
"es","602066","147","","","","","","761469053181370369","2016-08-05T07:49:04.000Z","CGTN es una organización internacional de medios busca proporcionar a las audiencias globales una cobertura noticiosa precisa y oportuna.","","La piedra de tinta es la portadora de la investigación de la tinta, su desarrollo, y se ha convertido en un conjunto de tallado y en una fina artesanía, siendo el objeto de la colección cultural. #China #CulturaChina https://t.co/YpuROW0rca","","","","es","","","","","","true","5","","false","","","","false","","3417","true","","[video]","","","","tw","","","","","","true","","","false","","","","false","1313237532394610689","CGTN en Español","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","La piedra de tinta es la portadora de la investigación de la tinta, su desarrollo, y se ha convertido en un conjunto de tallado y en una fina artesanía, siendo el objeto de la colección cultural. #China #CulturaChina https://t.co/YpuROW0rca","","","","","","","","false","","","","","","","40774","https://t.co/83y6t7SuAZ","true","false","","false","","tw-cgtnenespanol","","","776","","","","","2020-10-05T22:00:01.000Z","北京, 中华人民共和国","","","tw-761469053181370369","","32","","6","","","","[China, CulturaChina]","-1","cgtnenespanol","","","true","","[http://pbs.twimg.com/media/EjjQ2v9VcAAf_15.jpg]","2020-10-05T22:00:01.000Z","","",""
"es","602012","147","","","","","","761469053181370369","2016-08-05T07:49:04.000Z","CGTN es una organización internacional de medios busca proporcionar a las audiencias globales una cobertura noticiosa precisa y oportuna.","","Las siguientes son las últimas actualizaciones sobre los casos confirmados de COVID-19 de los países más afectados del mundo, según el recuento del Centro de Ciencia e Ingeniería de Sistemas de la Universidad Johns Hopkins. #coronavirus https://t.co/f61AI04Lax","","","","es","","","","","","false","7","","false","","","","false","","3417","true","","","","","","tw","","","","","","true","","","false","","","","false","1313717535401893888","CGTN en Español","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Las siguientes son las últimas actualizaciones sobre los casos confirmados de COVID-19 de los países más afectados del mundo, según el recuento del Centro de Ciencia e Ingeniería de Sistemas de la Universidad Johns Hopkins. #coronavirus https://t.co/f61AI04Lax","","","","","","","","false","","","","","","","40809","https://t.co/83y6t7SuAZ","true","false","","false","","tw-cgtnenespanol","","","777","","","[https://espanol.cgtn.com/n/2020-10-07/ECHFcA/ultimo-recuento-de-casos-confirmados-de-covid-19-del-mundo-a-las-0000-gmt-del-7-de-octubre/index.html]","","2020-10-07T05:47:22.000Z","北京, 中华人民共和国","","","tw-761469053181370369","","4","","7","","","","[coronavirus]","-1","cgtnenespanol","","","true","","","2020-10-07T05:47:22.000Z","","",""
"es","9068","630","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false","1313629996557230085","","769011542033633280","2016-08-26T03:20:14.000Z","Embajador de China en Venezuela","","Hoy #6Oct recibí las Cartas Credenciales del excelentísimo Jürg Sprecher, Embajador Designado de la Confederación Suiza ante la República Bolivariana de Venezuela. Acto en el que reafirmamos un profundo mensaje de respeto reciproco y de cooperación entre nuestros pueblos. https://t.co/00r79Ifb7d","","","","es","false","[1252764865]","","","","false","2741","","false","","","","false","","15422","true","","","","","2031","tw","","","[6Oct]","[http://pbs.twimg.com/media/EjrzfX8XYAAFGGA.jpg, http://pbs.twimg.com/media/Ejrzf89WoAYgtTc.jpg, http://pbs.twimg.com/media/EjrzhE5WAAIXotq.jpg]","2020-10-06T23:59:31.000Z","false","","","false","","","","false","1313801886567477249","Li Baorong","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hoy #6Oct recibí las Cartas Credenciales del excelentísimo Jürg Sprecher, Embajador Designado de la Confederación Suiza ante la República Bolivariana de Venezuela. Acto en el que reafirmamos un profundo mensaje de respeto reciproco y de cooperación entre nuestros pueblos. https://t.co/00r79Ifb7d","","","","Hoy #6Oct recibí las Cartas Credenciales del excelentísimo Jürg Sprecher, Embajador Designado de la Confederación Suiza ante la República Bolivariana de Venezuela. Acto en el que reafirmamos un profundo mensaje de respeto reciproco y de cooperación entre nuestros pueblos. https://t.co/00r79Ifb7d","","","RT @NicolasMaduro: Hoy #6Oct recibí las Cartas Credenciales del excelentísimo Jürg Sprecher, Embajador Designado de la Confederación Suiza…","false","es","","","","","","15441","","false","false","2741","false","false","tw-Li_Baorong","false","","30","","","","[photo, photo, photo]","2020-10-07T11:22:33.000Z","Caracas, Venezuela","","","tw-769011542033633280","","0","","8","","","","[6Oct]","-1","Li_Baorong","","","true","","","2020-10-07T11:22:33.000Z","","[NicolasMaduro]",""
"es","693","37","","","","","","1204496933886320641","2019-12-10T20:24:05.000Z","","","""Es China la que ha sabido llegar a los tiempos modernos alcanzando notables capacidades tecnológicas y una fortaleza económica. Pronto será la primera en el mundo."" escribió Antonio Schneider en la edición especial con motivo del 50° aniversario de relaciones sino-chilenas. https://t.co/SmIJAdWPvp","","","","es","","","","","","false","1","","false","","","","false","","37","true","","[photo]","","","","tw","","","","","","false","","","false","","","","false","1313923517994459137","Embajada de China en Chile","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Es China la que ha sabido llegar a los tiempos modernos alcanzando notables capacidades tecnológicas y una fortaleza económica. Pronto será la primera en el mundo."" escribió Antonio Schneider en la edición especial con motivo del 50° aniversario de relaciones sino-chilenas. https://t.co/SmIJAdWPvp","","","","","","","","false","","","","","","","279","","true","false","","false","","tw-ChinaEmbajada","","","19","","","","","2020-10-07T19:25:52.000Z","Chile","","","tw-1204496933886320641","","1","","9","","","","","-1","ChinaEmbajada","","","true","","[http://pbs.twimg.com/media/Ejv-ecXXYAEadxb.jpg]","2020-10-07T19:25:52.000Z","","",""
"es","16317","343","","","","","","925561028469035008","2017-11-01T03:12:00.000Z","Embajador de China en Panamá 🇨🇳🇵🇦","","Complacido d hacerle entrega d 1 donación d artículos d bioseguridad a la #ZonaPolicialDePanamáOeste, en nombre d la #EmbajadaChinaEnPanamá. Nuestros mejores deseos d salud y éxitos profesionales a los estamentos d seguridad de Panamá en su lucha antipandemia. @ProtegeryServir https://t.co/yQPfzckRoy","","","","es","","[195188201]","","","","false","17","","false","","","","false","","22989","true","","[photo, photo, photo]","","","","tw","","","","","","false","","","false","","","","false","1314396171423678469","魏强  WEI Qiang","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Complacido d hacerle entrega d 1 donación d artículos d bioseguridad a la #ZonaPolicialDePanamáOeste, en nombre d la #EmbajadaChinaEnPanamá. Nuestros mejores deseos d salud y éxitos profesionales a los estamentos d seguridad de Panamá en su lucha antipandemia. @ProtegeryServir https://t.co/yQPfzckRoy","","","","","","","","false","","","","","","","15990","","true","false","","false","","tw-weiasecas","","","64","","","","","2020-10-09T02:44:02.000Z","","","","tw-925561028469035008","","53","","10","","","","[ZonaPolicialDePanamáOeste, EmbajadaChinaEnPanamá]","-1","weiasecas","","","true","","[http://pbs.twimg.com/media/Ej2qRzlWkAAyL8B.jpg, http://pbs.twimg.com/media/Ej2qTslWoAAvhCv.jpg, http://pbs.twimg.com/media/Ej2qV7TX0AE48mP.jpg]","2020-10-09T02:44:02.000Z","","[ProtegeryServir]",""
