Suggested Theme,Count
Chinese culture and people,60
Confucius Institutes/Education?,48
Diplomacy,21
Chinese media coverage of foreign countries (change to Foreign news?),15
Economy,12
China and the world,11
China's relations with neighbours,11
Tourism,9
Chinese economic development,7
Anti-US,7
Covid-19,6
Human rights,6
Xi Jinping,6
Chinese leadership appearances and messaging,5
Chinese media coverage of foreign countries,5
Politics,5
Chinese culture and people (irrelevant omit?),5
Technology,4
Food diplomacy,3
Hong Kong,3
Military,3
Cooperation,3
China's relations with the UK,3
Development/aid,2
Countering negative news on China,2
Trade,2
Space,2
Xinjiang,2
China and the World,2
Health,2
Poverty alleviation?,2
Fake news?,1
Chinese political system,1
Environmental protection,1
Sport?,1
China's relations with the US? Sport?,1
Ethnic minorities,1
Belt and Road Initiative (BRI),1
China's relations with the US?,1
US election,1
Chinese and the world,1
Tibet,1
Disinformation?,1
Allies,1
China’s relations with neighbours,1
Huawei,1
Media,1
Artificial intelligence,1
N Korea,1
