Suggested Theme,Count
Covid-19,40
Diplomacy,38
Allies,23
Chinese culture and people,21
Economy,16
Media,15
Tourism,12
Cooperation,12
Countering negative news on China,12
Politics,11
Technology,9
Environmental protection,7
Xinjiang,6
media,4
Anti-US,4
Chinese leadership appearances and messaging,4
Development/aid,4
economy,2
Aid,2
US election,2
Belt and Road Initiative,1
allies,1
North Korea,1
Military,1
Foreign media coverage of China,1
BLM,1
tourism,1
Initiative,1
technology,1
politics,1
health,1
