Suggested Themes,Count
Foreign news,18
Chinese culture and people,13
Covid-19,8
Health,7
Foreign media coverage of China,7
Military,4
Development/aid,3
Poverty alleviation,3
Technology,3
Diplomacy,3
China's relations with African countries,3
Chinese economic development,3
Economy,3
Tourism,3
China and the World,2
Covid-19 Diplomacy,2
Trade,2
Xi Jinping,2
Sport,2
Scientific development,2
Artificial Intelligence,2
N Korea,1
Anti-US,1
China’s relations with neighbours,1
Infrastructure,1
Modernisation,1
No applicable theme,1
Chinese history,1
Chinese political system,1
Chinese peacekeeping forces,1
Chinese leadership appearances and messaging,1
Chinese festivals,1
Facebook Page ?,1
