account,region,country,is_diplomatic_outlet,is_state_media_outlet,is_confucius_institute,account_category,name,social_media_type,langs,link_or_handle,extracted_from_file,extracted_from_col,lookup.twitter.user/verified,lookup.lookup.crowdtangle.account/verified,lookup.twitter.user/createdAt,combined/userHandle,combined/uniqueUserId
AmbCHINEenRDC,Africa,DEMOCRATIC REP OF CONGO (ex-Zaire),Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['french', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2020-01-09T10:50:32.000Z,tw-AmbCHINEenRDC,tw-1215224180532109312
AmbChangHua,Middle East,IRAN,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'persian', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2019-10-08T06:39:53.000Z,tw-AmbChangHua,tw-1181459142894145541
AmbChenBo,Europe,SERBIA,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['serbian', 'serbian', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,False,,2020-03-17T17:14:20.000Z,tw-AmbChenBo,tw-1239963267986001921
AmbChenWeiQing,Middle East,SAUDI ARABIA,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['arabic', 'english', 'chinese']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2019-07-23T17:36:49.000Z,tw-AmbChenWeiQing,tw-1153720634372952064
AmbChineBurundi,Africa,BURUNDI,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['french', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,False,,2019-06-25T19:36:53.000Z,tw-AmbChineBurundi,tw-1143603992146120705
AmbChineCmr,Africa,CAMEROON,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'french', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2019-12-16T14:39:02.000Z,tw-AmbChineCmr,tw-1206584459014918145
AmbCina,Europe,ITALY,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['italian', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2018-05-10T05:44:43.000Z,tw-AmbCina,tw-994453158301786113
AmbCuiTiankai,Americas,UNITED STATES OF AMERICA,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'mandarin', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2019-06-05T22:08:41.000Z,tw-AmbCuiTiankai,tw-1136394437012152326
AmbFengBiao,Middle East,SYRIA,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['arabic', 'chinese', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,False,,2020-03-15T11:06:44.000Z,tw-AmbFengBiao,tw-1239145878558068737
AmbLiaoLiqiang,Middle East,EGYPT,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['arabic', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2019-12-01T08:05:51.000Z,tw-AmbLiaoLiqiang,tw-1201049689019310080
AmbLiuGuangYuan,Europe,POLAND,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['polish', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,False,,2020-03-18T08:51:21.000Z,tw-AmbLiuGuangYuan,tw-1240198718143504385
