Suggested Themes,Count_Of_Twitter,Count_Of_Facebook,Total
Covid-19,111,182,293
Health,105,175,280
Chinese culture and people,114,106,220
China and the World,83,131,214
Cultural Diplomacy,96,73,169
Diplomacy,75,73,148
Economy,66,46,112
Education,66,44,110
Politics,46,53,99
Countering negative news on China,31,42,73
Foreign news coverage,70,2,72
Covid-19 Diplomacy,25,45,70
Confucius Institutes,56,7,63
Anti-US,34,29,63
Chinese leadership appearances and messaging,29,33,62
Cooperation,31,26,57
Turning messages back on US/West,22,31,53
China-US relations,26,27,53
Motivational speaking?,19,30,49
Chinese economic development,30,19,49
China's relations with African countries,15,33,48
Social involvement in the local community?,39,6,45
Development/aid,12,28,40
Hong Kong,23,16,39
Xi Jinping,22,16,38
Tourism,15,22,37
Chinese festivals,20,15,35
Businesses,26,6,32
Technology,21,11,32
Trade,17,13,30
China's relations with the UK,24,2,26
China's relations with the EU,13,12,25
National security?,10,14,24
Food Diplomacy,14,10,24
China's relations with the UN,11,11,22
Ethnic minorities,10,11,21
China's relations with neighbours,16,5,21
Security?,9,11,20
China-Asia-Pacific relations?,14,6,20
Society?,10,9,19
Chinese history,9,10,19
Military,12,6,18
Covid-19 preventive measures?,16,0,16
Xinjiang,6,9,15
Human rights,5,9,14
Wildlife,8,6,14
Disinformation,7,7,14
Wuhan,9,5,14
Nature,9,4,13
Industry?,8,5,13
Foreign interference?,4,9,13
Infrastructure,9,4,13
Environmental protection,5,8,13
Space exploration/tech/progress,7,6,13
Businesses?,9,4,13
Nature?,8,4,12
Space,7,5,12
Sentimental messaging?,7,5,12
Chinese political system,8,3,11
Treatment of minorities in US,3,7,10
China-Asia-Pacific relations,9,0,9
Environment,5,4,9
Foreign media coverage of China,2,7,9
Scientific development,2,6,8
Sport?,8,0,8
Chinese multinationals,4,4,8
Uighurs,2,6,8
Religion?,2,6,8
Finances,7,0,7
Energy,5,2,7
Security,3,4,7
Poverty alleviation,3,4,7
Tibet,3,4,7
Multilateralism,1,5,6
Trains,1,5,6
Travel to China,2,4,6
Taiwan,3,3,6
Foreign interference,6,0,6
Media,5,1,6
China's soft power,3,2,5
5G,2,3,5
Initiatives,1,4,5
National security,5,0,5
Allies,4,1,5
Industry,5,0,5
Finance?,3,2,5
Legal?,2,2,4
Economic reform,1,3,4
Cybersecurity,1,3,4
Racial disharmony in US,1,3,4
Black Lives Matter,1,3,4
Anti-Trump,2,2,4
Belt and Road initiative (BRI),2,2,4
Sustainable Development,1,2,3
Chinese leadership messaging and appearances,2,1,3
Macau,1,2,3
Internet,3,0,3
Historical injustices towards China,3,0,3
Media freedom,2,1,3
Artificial intelligence,3,0,3
Huawei,2,1,3
Countering negatives news on China,3,0,3
Territorial disputes,2,1,3
N Korea,3,0,3
Gender?,2,1,3
Chinese leadership apperances and messaging,2,1,3
Freedom of speech,1,1,2
Democracy,1,1,2
E-Commerce?,1,1,2
China's relations with Arab countries,1,1,2
Belt and Road Initiative,1,1,2
Olympics?,2,0,2
US election,2,0,2
China's relations with the Middle East?,1,1,2
Green energy,1,1,2
Animal conservation?,2,0,2
China-Asia-Pacific relations? Covid-19 preventive measures?,1,0,1
China and the UN,1,0,1
Trump?,1,0,1
Turning back messages on the US/West,1,0,1
Confuscius institutes,1,0,1
Covid-19 preventive measures,1,0,1
??,1,0,1
Motivational speaking? Covid-19 preventive measures?,1,0,1
China relations with the Middle East?,1,0,1
Turning back messages on US/West,1,0,1
Modernisation,1,0,1
China's relations with the Middle East,1,0,1
"Economy,Businesses",1,0,1
China's relations with the Middle East? Covid-19 preventive measures?,1,0,1
China-Asia-Pacific reations? Covid-19 preventive measures?,1,0,1
Mongolia,1,0,1
Scientific development?,1,0,1
Legal,1,0,1
Chinese leadership appearances and messagiing,1,0,1
Coountering negative news on China,1,0,1
Sport? Covid-19 preventive measures?,1,0,1
Travel to China? Covid-19 preventive measures?,1,0,1
Wildlife protection,1,0,1
Protests,1,0,1
Denuclearisation,1,0,1
Sport,1,0,1
Foreign Interference?,1,0,1
Finance? Covid-19 preventive measures?,1,0,1
Animals,1,0,1
Foreign inteference?,1,0,1
China's relations wth the UN,1,0,1
China-Asia-Pacific Relations?,1,0,1
Xi Jingping,1,0,1
Crime?,1,0,1
Internet?,1,0,1
Chinese and the world,1,0,1
Foreign interferencee,1,0,1
