Suggested Themes,Count_Of_Twitter,Count_Of_Facebook,Total
Covid-19,102,113,215
Chinese culture and people,112,45,157
Tourism,23,51,74
Economy,16,49,65
China's relations with African countries,45,18,63
Covid-19 Diplomacy,41,11,52
Foreign news coverage,2,43,45
Technology,14,28,42
Xi Jinping,14,21,35
Health,9,23,32
China-US relations,11,21,32
Trade,12,18,30
Wuhan,24,6,30
Covid-19 preventive measures,28,2,30
Politics,1,29,30
Cultural Diplomacy,26,0,26
Art,16,7,23
Anti-US,10,13,23
China's relations with EU,1,21,22
Education,9,12,21
Innovation,1,20,21
China and the World,19,1,20
Countering negative news on China,20,0,20
China's relations with the EU,20,0,20
Chinese history,19,0,19
Environmental protection,5,14,19
Hong Kong,10,8,18
China's relations with Arab countries,18,0,18
Chinese festivals,7,11,18
Xinjiang,11,5,16
Multilateralism,16,0,16
Chinese political system,11,4,15
Foreign media coverage of China,14,1,15
Food Diplomacy,14,0,14
Ethnic minorities,6,6,12
China’s relations with the EU,12,0,12
Trains,1,9,10
Media,2,8,10
Science,10,0,10
Poverty alleviation,1,9,10
Development/aid,9,0,9
Nature,2,6,8
Technical cooperation and training,8,0,8
Turning messages back on US/West,8,0,8
Chinese economic development,6,1,7
Foreign interference,4,3,7
Military,3,4,7
Taiwan,5,2,7
Foreign news,2,4,6
Travel to China,4,2,6
Motivational speaking?,6,0,6
Sport,4,1,5
Panda Diplomacy?,5,0,5
Chinese traditional medicine,5,0,5
Space Technology,4,0,4
5G,1,3,4
Sentimental messaging,1,3,4
Disinformation,3,1,4
lack of context,4,0,4
Chinese multinationals,4,0,4
E-Commerce,4,0,4
Farming,1,2,3
Allegations of China bashing,3,0,3
Sentimental messaging?,3,0,3
Marketing strategies,3,0,3
Deveoplment/aid,2,0,2
?,2,0,2
Foreign students in China,2,0,2
China's relations with Australia,1,1,2
China’s relations with neighbours,1,1,2
Covid-19 prevention measures,2,0,2
science,1,0,1
Foreign media coverage of Chinese companies,1,0,1
Uighurs,1,0,1
Cuba,1,0,1
Startups,1,0,1
Macau,1,0,1
Small scale enterprises,1,0,1
foreign business in China,1,0,1
Wind Power,1,0,1
Iran,1,0,1
China’s relations with the UK,1,0,1
Irrelevant,1,0,1
Lack of context,1,0,1
(Irrelevant omit) there was no mention of china it was mainly talking about ligestlation,1,0,1
Solar power,1,0,1
Chinese relattions with Arab countries,1,0,1
Environmental protectional Protection,1,0,1
Cybersecurity,1,0,1
Debt forgiveness,1,0,1
Travelling to China,1,0,1
Anti-Trump,1,0,1
Human Rights,1,0,1
China’s soft power,1,0,1
Countering negative views of China,1,0,1
Social involvement in the local community?,1,0,1
Chinese people anc culture,1,0,1
