"keyword.match.theme/politics-and-society","M52/language","keyword.match.theme/technology","keyword.match.theme/covid-19","keyword.match.theme/geopolitics","keyword.match.theme/environment","keyword.match.theme/military-and-security","keyword.match.theme/economy","keyword.match.theme/chinese-culture-and-people"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"true","es","false","true","true","false","false","false","false"
"false","es","false","true","false","false","false","true","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","true"
"true","es","false","false","true","false","false","true","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","true","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","true","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","true","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","true","true","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","true","false"
"true","es","false","false","true","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","true","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","true","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","true","false","false","false"
"false","es","false","true","false","false","false","true","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","true","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","true","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","true","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","true","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","true","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","true","false"
"false","es","false","true","false","false","false","true","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","true","false","false","false","false","false"
"false","es","false","false","false","false","false","true","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","true"
"false","es","true","false","false","false","false","false","false"
"false","es","false","false","false","false","false","true","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","true","false"
"false","es","false","false","false","true","false","false","true"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","true","false","false","false","true"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","true","false"
"true","es","false","true","true","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"true","es","false","false","true","false","false","true","false"
"true","es","false","false","true","false","false","true","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"true","es","false","false","true","false","false","true","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","true","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"true","es","false","false","true","false","false","false","true"
"true","es","false","true","true","false","false","false","false"
"false","es","false","false","false","true","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","true","true"
"false","es","false","false","false","false","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","true","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","true","true"
"true","es","false","false","true","false","false","false","true"
"false","es","false","false","false","true","false","false","true"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","false","false"
"false","es","false","false","false","false","false","true","false"
"false","es","false","false","false","false","false","false","false"
